# Matter power spectrum P(k) at redshift z=0
# for k=0.000104968 to 105.076 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049679010621e-04       4.373976967383e+02 
       1.321467580698e-04       5.462451818949e+02 
       1.663629118203e-04       6.821369964644e+02 
       2.094384972706e-04       8.517356915578e+02 
       2.636674464220e-04       1.063291551245e+03 
       3.319376485635e-04       1.326961645673e+03 
       4.178847409078e-04       1.655233913625e+03 
       5.260857195298e-04       2.063132942965e+03 
       6.623026810981e-04       2.568753367595e+03 
       8.337896755338e-04       3.193311286609e+03 
       1.049679010621e-03       3.961183862952e+03 
       1.321467580698e-03       4.899300324140e+03 
       1.663629118203e-03       6.035680804166e+03 
       2.094384972706e-03       7.396704699996e+03 
       2.636674464220e-03       9.002749093290e+03 
       3.319376485635e-03       1.086269629013e+04 
       4.178847409078e-03       1.296476533844e+04 
       5.260857195298e-03       1.526526420797e+04 
       6.623026810981e-03       1.767614899517e+04 
       8.337896755338e-03       2.004829091440e+04 
       1.049679010621e-02       2.215543133922e+04 
       1.321467580698e-02       2.368955202465e+04 
       1.663629118200e-02       2.427656802145e+04 
       2.094384956115e-02       2.354660441112e+04 
       2.636661815037e-02       2.132963990522e+04 
       3.317623484010e-02       1.796218418554e+04 
       4.120444211505e-02       1.459636219972e+04 
       4.798009889481e-02       1.266798066998e+04 
       5.289273859712e-02       1.171997536867e+04 
       5.694275567995e-02       1.112879233814e+04 
       6.055829362367e-02       1.068236513673e+04 
       6.393009345942e-02       1.029275240171e+04 
       6.715906135553e-02       9.915077004849e+03 
       7.030567961805e-02       9.524713496409e+03 
       7.340966609977e-02       9.111289431873e+03 
       7.649900650840e-02       8.671368007844e+03 
       7.959457653589e-02       8.208745594126e+03 
       8.271270964997e-02       7.731436481630e+03 
       8.586671832408e-02       7.251659325951e+03 
       8.906784286349e-02       6.782040517570e+03 
       9.232586856146e-02       6.336637028248e+03 
       9.564954123600e-02       5.926857885240e+03 
       9.904685512227e-02       5.562288400730e+03 
       1.025252570732e-01       5.247769941147e+03 
       1.060917941787e-01       4.985617292184e+03 
       1.097532220854e-01       4.772101255886e+03 
       1.135160853620e-01       4.599429740141e+03 
       1.173867775683e-01       4.455869881877e+03 
       1.213715863402e-01       4.327927817881e+03 
       1.254767272782e-01       4.199268154475e+03 
       1.297083694263e-01       4.055963678750e+03 
       1.340726544635e-01       3.887654843749e+03 
       1.385757112860e-01       3.690563835864e+03 
       1.432236673635e-01       3.468781506201e+03 
       1.480226580601e-01       3.232878102614e+03 
       1.529788349848e-01       2.998816473158e+03 
       1.580983743540e-01       2.782386732900e+03 
       1.633874863026e-01       2.596297656826e+03 
       1.688524260441e-01       2.447190366569e+03 
       1.744995077645e-01       2.332584513268e+03 
       1.803351221183e-01       2.243120650549e+03 
       1.863657581891e-01       2.164293007115e+03 
       1.925980307695e-01       2.079939252047e+03 
       1.990387138217e-01       1.977856513633e+03 
       2.056947809900e-01       1.857037240296e+03 
       2.125734540724e-01       1.724980632745e+03 
       2.196822604150e-01       1.595823627445e+03 
       2.270291002900e-01       1.482955977056e+03 
       2.346223254688e-01       1.392285566621e+03 
       2.424708304176e-01       1.322207074593e+03 
       2.505841578507e-01       1.262192563999e+03 
       2.589726207942e-01       1.201793779388e+03 
       2.676474438845e-01       1.132394374535e+03 
       2.766209273763e-01       1.054389392129e+03 
       2.859066383401e-01       9.773837527800e+02 
       2.955196348474e-01       9.107955301202e+02 
       3.054767306969e-01       8.564438498667e+02 
       3.157968105684e-01       8.088291378643e+02 
       3.265012086210e-01       7.630678369777e+02 
       3.376141678049e-01       7.134763924596e+02 
       3.491634029815e-01       6.633523181190e+02 
       3.611807990553e-01       6.164832388970e+02 
       3.737032867550e-01       5.765722413203e+02 
       3.867739550898e-01       5.407667077729e+02 
       4.004434834015e-01       5.049230962022e+02 
       4.147720114166e-01       4.676779789507e+02 
       4.298316194716e-01       4.335575471200e+02 
       4.457096744011e-01       4.026624415806e+02 
       4.625134288377e-01       3.734443294884e+02 
       4.803764774240e-01       3.445085385482e+02 
       4.994680361651e-01       3.169114972233e+02 
       5.200066420109e-01       2.912838382043e+02 
       5.422810097526e-01       2.663375067624e+02 
       5.666829345828e-01       2.421670519076e+02 
       5.937613933310e-01       2.190463900463e+02 
       6.243159385285e-01       1.963573805955e+02 
       6.595674454398e-01       1.742686170716e+02 
       7.014920337553e-01       1.520272054503e+02 
       7.535262188475e-01       1.296296171388e+02 
       8.221761139160e-01       1.066801115768e+02 
       9.208199172629e-01       8.254501128724e+01 
       1.076772977040e+00       5.765798626115e+01 
       1.325079092243e+00       3.554889671741e+01 
       1.665381665146e+00       2.067665085439e+01 
       2.096538060201e+00       1.186594154145e+01 
       2.639384841890e+00       6.764818933618e+00 
       3.322788648855e+00       3.824436193247e+00 
       4.183143068065e+00       2.150318866949e+00 
       5.266265109558e+00       1.200911165147e+00 
       6.629834971667e+00       6.677848056129e-01 
       8.346467721833e+00       3.689817203532e-01 
       1.050758031374e+01       2.041754702464e-01 
       1.322825987343e+01       1.123980572861e-01 
       1.665339250848e+01       6.163530974854e-02 
       2.096537902151e+01       3.368046035054e-02 
       2.639384841807e+01       1.874408233587e-02 
       3.322788648855e+01       1.008625908775e-02 
       4.183143068065e+01       5.493567352891e-03 
       5.266265109558e+01       3.083887142550e-03 
       6.629834971667e+01       1.604201202959e-03 
       8.346467721833e+01       8.687016433545e-04 
       1.050758031374e+02       4.569130320390e-04 
