# Matter power spectrum P(k) at redshift z=0
# for k=0.000104968 to 105.076 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049679010621e-04       4.373597845507e+02 
       1.321467580698e-04       5.462071626563e+02 
       1.663629118203e-04       6.820995391963e+02 
       2.094384972706e-04       8.517020444885e+02 
       2.636674464220e-04       1.063270048060e+03 
       3.319376485635e-04       1.326970509476e+03 
       4.178847409078e-04       1.655310108998e+03 
       5.260857195298e-04       2.063347496028e+03 
       6.623026810981e-04       2.569236045500e+03 
       8.337896755338e-04       3.194285016861e+03 
       1.049679010621e-03       3.963004673193e+03 
       1.321467580698e-03       4.902495659089e+03 
       1.663629118203e-03       6.040999250425e+03 
       2.094384972706e-03       7.405216461139e+03 
       2.636674464220e-03       9.015947870392e+03 
       3.319376485635e-03       1.088250060388e+04 
       4.178847409078e-03       1.299368961925e+04 
       5.260857195298e-03       1.530629752155e+04 
       6.623026810981e-03       1.773202900770e+04 
       8.337896755338e-03       2.012148366747e+04 
       1.049679010621e-02       2.224911801847e+04 
       1.321467580698e-02       2.380389057674e+04 
       1.663629118200e-02       2.440860427265e+04 
       2.094384956115e-02       2.368978900550e+04 
       2.636661815037e-02       2.147190037198e+04 
       3.317623484010e-02       1.809147910441e+04 
       4.120444211505e-02       1.470772812908e+04 
       4.798009889481e-02       1.276792897230e+04 
       5.289273859712e-02       1.181417504172e+04 
       5.694275567995e-02       1.121937856921e+04 
       6.055829362367e-02       1.077016356683e+04 
       6.393009345942e-02       1.037802007998e+04 
       6.715906135553e-02       9.997769249118e+03 
       7.030567961805e-02       9.604616096765e+03 
       7.340966609977e-02       9.188121379901e+03 
       7.649900650840e-02       8.744832160156e+03 
       7.959457653589e-02       8.278585941470e+03 
       8.271270964997e-02       7.797471988753e+03 
       8.586671832408e-02       7.313819143463e+03 
       8.906784286349e-02       6.840367826543e+03 
       9.232586856146e-02       6.391301896675e+03 
       9.564954123600e-02       5.978134873588e+03 
       9.904685512227e-02       5.610540914325e+03 
       1.025252570732e-01       5.293409032216e+03 
       1.060917941787e-01       5.029079362574e+03 
       1.097532220854e-01       4.813794847403e+03 
       1.135160853620e-01       4.639699170697e+03 
       1.173867775683e-01       4.494959700259e+03 
       1.213715863402e-01       4.365966214853e+03 
       1.254767272782e-01       4.236240875786e+03 
       1.297083694263e-01       4.091734186700e+03 
       1.340726544635e-01       3.921994996005e+03 
       1.385757112860e-01       3.723211602592e+03 
       1.432236673635e-01       3.499510533285e+03 
       1.480226580601e-01       3.261555428665e+03 
       1.529788349848e-01       3.025450971396e+03 
       1.580983743540e-01       2.807128348477e+03 
       1.633874863026e-01       2.619410472918e+03 
       1.688524260441e-01       2.468998893432e+03 
       1.744995077645e-01       2.353392571364e+03 
       1.803351221183e-01       2.263149561966e+03 
       1.863657581891e-01       2.183635353450e+03 
       1.925980307695e-01       2.098543396244e+03 
       1.990387138217e-01       1.995561658593e+03 
       2.056947809900e-01       1.873673340722e+03 
       2.125734540724e-01       1.740444655914e+03 
       2.196822604150e-01       1.610139337543e+03 
       2.270291002900e-01       1.496267552663e+03 
       2.346223254688e-01       1.404790663278e+03 
       2.424708304176e-01       1.334089383884e+03 
       2.505841578507e-01       1.273541512568e+03 
       2.589726207942e-01       1.212605016573e+03 
       2.676474438845e-01       1.142586060288e+03 
       2.766209273763e-01       1.063883194996e+03 
       2.859066383401e-01       9.861878404779e+02 
       2.955196348474e-01       9.190030061756e+02 
       3.054767306969e-01       8.641643852166e+02 
       3.157968105684e-01       8.161229686124e+02 
       3.265012086210e-01       7.699512524790e+02 
       3.376141678049e-01       7.199144419084e+02 
       3.491634029815e-01       6.693398132204e+02 
       3.611807990553e-01       6.220492143279e+02 
       3.737032867550e-01       5.817792248806e+02 
       3.867739550898e-01       5.456515313183e+02 
       4.004434834015e-01       5.094851946844e+02 
       4.147720114166e-01       4.719044867539e+02 
       4.298316194716e-01       4.374765159956e+02 
       4.457096744011e-01       4.063028647188e+02 
       4.625134288377e-01       3.768212282388e+02 
       4.803764774240e-01       3.476243406644e+02 
       4.994680361651e-01       3.197781956927e+02 
       5.200066420109e-01       2.939191458091e+02 
       5.422810097526e-01       2.687474984156e+02 
       5.666829345828e-01       2.443586658959e+02 
       5.937613933310e-01       2.210290537344e+02 
       6.243159385285e-01       1.981349342625e+02 
       6.595674454398e-01       1.758464334323e+02 
       7.014920337553e-01       1.534038455405e+02 
       7.535262188475e-01       1.308036125516e+02 
       8.221761139160e-01       1.076464100365e+02 
       9.208199172629e-01       8.329281701196e+01 
       1.076772977040e+00       5.818042058216e+01 
       1.325079092243e+00       3.587105348282e+01 
       1.665381665146e+00       2.086405128075e+01 
       2.096538060201e+00       1.197349490444e+01 
       2.639384841890e+00       6.826138320597e+00 
       3.322788648855e+00       3.859103617808e+00 
       4.183143068065e+00       2.169811249997e+00 
       5.266265109558e+00       1.211797406272e+00 
       6.629834971667e+00       6.738383084499e-01 
       8.346467721833e+00       3.723265735008e-01 
       1.050758031374e+01       2.060263449584e-01 
       1.322825987343e+01       1.134169607861e-01 
       1.665339250848e+01       6.219404276001e-02 
       2.096537902151e+01       3.398577882427e-02 
       2.639384841807e+01       1.891400035881e-02 
       3.322788648855e+01       1.017769262227e-02 
       4.183143068065e+01       5.543367419200e-03 
       5.266265109558e+01       3.111843075734e-03 
       6.629834971667e+01       1.618743546055e-03 
       8.346467721833e+01       8.765765644700e-04 
       1.050758031374e+02       4.610550228078e-04 
