# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 5.26676 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.699322233491e+01 
       1.321592908369e-05       5.812360275595e+01 
       1.663786896393e-05       7.407237195521e+01 
       2.094583603679e-05       9.454390221651e+01 
       2.636924525799e-05       1.159770832011e+02 
       3.319691294512e-05       1.439808269931e+02 
       4.179243729973e-05       1.800892171876e+02 
       5.261356133744e-05       2.243047088504e+02 
       6.623654937270e-05       2.802535234520e+02 
       8.338687519485e-05       3.500220971315e+02 
       1.049778561929e-04       4.372760427976e+02 
       1.321592908369e-04       5.461345263740e+02 
       1.663786896393e-04       6.820403582567e+02 
       2.094583603679e-04       8.516494258642e+02 
       2.636924525799e-04       1.063213214392e+03 
       3.319691294512e-04       1.326888674700e+03 
       4.179243729973e-04       1.655150988952e+03 
       5.261356133744e-04       2.063114940163e+03 
       6.623654937270e-04       2.568911178508e+03 
       8.338687519485e-04       3.193915102304e+03 
       1.049778561929e-03       3.962768953894e+03 
       1.321592908369e-03       4.902845177694e+03 
       1.663786896393e-03       6.042794952687e+03 
       2.094583603679e-03       7.409958318303e+03 
       2.636924525799e-03       9.026182594720e+03 
       3.319691294512e-03       1.090193125869e+04 
       4.179243729973e-03       1.302827310189e+04 
       5.261356133744e-03       1.536651148464e+04 
       6.623654937270e-03       1.783669585817e+04 
       8.338687519485e-03       2.029740533105e+04 
       1.049778561929e-02       2.252919684942e+04 
       1.321592908369e-02       2.422276165715e+04 
       1.663786896390e-02       2.499013489862e+04 
       2.094583587082e-02       2.442813760359e+04 
       2.636911872837e-02       2.231163627643e+04 
       3.317937869056e-02       1.892520658295e+04 
       4.120829406624e-02       1.543021320999e+04 
       4.798444742424e-02       1.337978475587e+04 
       5.289746506074e-02       1.235731553107e+04 
       5.694780992335e-02       1.171609418758e+04 
       6.056364813182e-02       1.123277990040e+04 
       6.393573213032e-02       1.081301700969e+04 
       6.716497467566e-02       1.040867714803e+04 
       7.031186225901e-02       9.993543808323e+03 
       7.341611559804e-02       9.554491445145e+03 
       7.650572248419e-02       9.087523084066e+03 
       7.960156020378e-02       8.595617973423e+03 
       8.271996349867e-02       8.087057001778e+03 
       8.587424589942e-02       7.573832661339e+03 
       8.907564861756e-02       7.069973916552e+03 
       9.233395774559e-02       6.589858539105e+03 
       9.565791982369e-02       6.146575437340e+03 
       9.905552975330e-02       5.750479073531e+03 
       1.025342350127e-01       5.408150881861e+03 
       1.061010832874e-01       5.121668142950e+03 
       1.097628307978e-01       4.888370657863e+03 
       1.135260226708e-01       4.700849740843e+03 
       1.173970530133e-01       4.547476749056e+03 
       1.213822100006e-01       4.413340342854e+03 
       1.254877097673e-01       4.281901510091e+03 
       1.297197218884e-01       4.137460791139e+03 
       1.340843885724e-01       3.968115038005e+03 
       1.385878392441e-01       3.768545557257e+03 
       1.432362019019e-01       3.541611388114e+03 
       1.480356124401e-01       3.297968134506e+03 
       1.529922229991e-01       3.053611920224e+03 
       1.581122103294e-01       2.825863720441e+03 
       1.634017851034e-01       2.629007319158e+03 
       1.688672030761e-01       2.470683092252e+03 
       1.745147789810e-01       2.349980196365e+03 
       1.803509040273e-01       2.257604369121e+03 
       1.863820678626e-01       2.179014558477e+03 
       1.926148858558e-01       2.096610424747e+03 
       1.990561325600e-01       1.996517205573e+03 
       2.057127822296e-01       1.875461747955e+03 
       2.125920572962e-01       1.740981520455e+03 
       2.197014857678e-01       1.607441440143e+03 
       2.270489686135e-01       1.489169013652e+03 
       2.346428583438e-01       1.394271896946e+03 
       2.424920502145e-01       1.321596981277e+03 
       2.506060877896e-01       1.261702888375e+03 
       2.589952850160e-01       1.201701948073e+03 
       2.676708675354e-01       1.132452258053e+03 
       2.766451367073e-01       1.054073318371e+03 
       2.859316608238e-01       9.751755762968e+02 
       2.955454993155e-01       9.058113129624e+02 
       3.055034675027e-01       8.499204011534e+02 
       3.158244517782e-01       8.032163595977e+02 
       3.265297882407e-01       7.575752212696e+02 
       3.376437220498e-01       7.080860672749e+02 
       3.491939705992e-01       6.567732028258e+02 
       3.612124217144e-01       6.094998107989e+02 
       3.737360095167e-01       5.692450832922e+02 
       3.868078269858e-01       5.332472331202e+02 
       4.004785581499e-01       4.972062144741e+02 
       4.148083483167e-01       4.606511800612e+02 
       4.298692845408e-01       4.262846605437e+02 
       4.457487418382e-01       3.954520936739e+02 
       4.625539829387e-01       3.664993160095e+02 
       4.804186151397e-01       3.377356657832e+02 
       4.995118705875e-01       3.102024643603e+02 
       5.200523072474e-01       2.847672238218e+02 
       5.423286679377e-01       2.600803076417e+02 
       5.667327863085e-01       2.361228716205e+02 
       5.938136937877e-01       2.132808873355e+02 
       6.243710236877e-01       1.908962248333e+02 
       6.596257769879e-01       1.690169017622e+02 
       7.015542815944e-01       1.472682145671e+02 
       7.535934250155e-01       1.253751873712e+02 
       8.222500464495e-01       1.028699221512e+02 
       9.209038690122e-01       7.933649151637e+01 
       1.076873221064e+00       5.517243644583e+01 
       1.325204453667e+00       3.382162668236e+01 
       1.665539575811e+00       1.954866255956e+01 
       2.096736862685e+00       1.115673504646e+01 
       2.639635119420e+00       6.316961081894e+00 
       3.323103729597e+00       3.551234424932e+00 
       4.183539731218e+00       1.983556309576e+00 
       5.266764478880e+00       1.101452104275e+00 
