# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 1.07687 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.506820318247e+01 
       1.321592908369e-05       5.657876014576e+01 
       1.663786896393e-05       7.240232020925e+01 
       2.094583603679e-05       9.319973314781e+01 
       2.636924525799e-05       1.146869152716e+02 
       3.319691294512e-05       1.435140541528e+02 
       4.179243729973e-05       1.791964281199e+02 
       5.261356133744e-05       2.242596265773e+02 
       6.623654937270e-05       2.803463367659e+02 
       8.338687519485e-05       3.501397953757e+02 
       1.049778561929e-04       4.373342361042e+02 
       1.321592908369e-04       5.461913872004e+02 
       1.663786896393e-04       6.820620598439e+02 
       2.094583603679e-04       8.516394599670e+02 
       2.636924525799e-04       1.063206704943e+03 
       3.319691294512e-04       1.326856015885e+03 
       4.179243729973e-04       1.655103480124e+03 
       5.261356133744e-04       2.063037315093e+03 
       6.623654937270e-04       2.568770874415e+03 
       8.338687519485e-04       3.193656579107e+03 
       1.049778561929e-03       3.962283869321e+03 
       1.321592908369e-03       4.901914059867e+03 
       1.663786896393e-03       6.040815871340e+03 
       2.094583603679e-03       7.405901072599e+03 
       2.636924525799e-03       9.018049813243e+03 
       3.319691294512e-03       1.088593593190e+04 
       4.179243729973e-03       1.299773394593e+04 
       5.261356133744e-03       1.531007534811e+04 
       6.623654937270e-03       1.773402906672e+04 
       8.338687519485e-03       2.011986687258e+04 
       1.049778561929e-02       2.224148235904e+04 
       1.321592908369e-02       2.378811028095e+04 
       1.663786896390e-02       2.438249829452e+04 
       2.094583587082e-02       2.365512883072e+04 
       2.636911872837e-02       2.143228358937e+04 
       3.317937869056e-02       1.805211468350e+04 
       4.120829406624e-02       1.467204917116e+04 
       4.798444742424e-02       1.273529349030e+04 
       5.289746506074e-02       1.178362722105e+04 
       5.694780992335e-02       1.119034736677e+04 
       6.056364813182e-02       1.074255676137e+04 
       6.393573213032e-02       1.035129737371e+04 
       6.716497467566e-02       9.971770974329e+03 
       7.031186225901e-02       9.579994243509e+03 
       7.341611559804e-02       9.164526538127e+03 
       7.650572248419e-02       8.722451480719e+03 
       7.960156020378e-02       8.257385891788e+03 
       8.271996349867e-02       7.777741292664e+03 
       8.587424589942e-02       7.295256226463e+03 
       8.907564861756e-02       6.823310124214e+03 
       9.233395774559e-02       6.375320455698e+03 
       9.565791982369e-02       5.963352558926e+03 
       9.905552975330e-02       5.596603852462e+03 
       1.025342350127e-01       5.280993844553e+03 
       1.061010832874e-01       5.017177999416e+03 
       1.097628307978e-01       4.802476730848e+03 
       1.135260226708e-01       4.628990223697e+03 
       1.173970530133e-01       4.485284447904e+03 
       1.213822100006e-01       4.356590688572e+03 
       1.254877097673e-01       4.227403149476e+03 
       1.297197218884e-01       4.083520215135e+03 
       1.340843885724e-01       3.914033603442e+03 
       1.385878392441e-01       3.716325267599e+03 
       1.432362019019e-01       3.493265215930e+03 
       1.480356124401e-01       3.256080038288e+03 
       1.529922229991e-01       3.020377117855e+03 
       1.581122103294e-01       2.802646676975e+03 
       1.634017851034e-01       2.615544366082e+03 
       1.688672030761e-01       2.465573839844e+03 
       1.745147789810e-01       2.350377417833e+03 
       1.803509040273e-01       2.260430305676e+03 
       1.863820678626e-01       2.181401182207e+03 
       1.926148858558e-01       2.096769744251e+03 
       1.990561325600e-01       1.994469810476e+03 
       2.057127822296e-01       1.872790705165e+03 
       2.125920572962e-01       1.739996983976e+03 
       2.197014857678e-01       1.610089951725e+03 
       2.270489686135e-01       1.496218727980e+03 
       2.346428583438e-01       1.405089354209e+03 
       2.424920502145e-01       1.334532975916e+03 
       2.506060877896e-01       1.274875333778e+03 
       2.589952850160e-01       1.213913664656e+03 
       2.676708675354e-01       1.143758559606e+03 
       2.766451367073e-01       1.065524525170e+03 
       2.859316608238e-01       9.880205058044e+02 
       2.955454993155e-01       9.204042966582e+02 
       3.055034675027e-01       8.656564371329e+02 
       3.158244517782e-01       8.190491427365e+02 
       3.265297882407e-01       7.728095522671e+02 
       3.376437220498e-01       7.228203253181e+02 
       3.491939705992e-01       6.715742941578e+02 
       3.612124217144e-01       6.247129576759e+02 
       3.737360095167e-01       5.846188241652e+02 
       3.868078269858e-01       5.483531675328e+02 
       4.004785581499e-01       5.117625883541e+02 
       4.148083483167e-01       4.749031242664e+02 
       4.298692845408e-01       4.404015353594e+02 
       4.457487418382e-01       4.093209947494e+02 
       4.625539829387e-01       3.799244877477e+02 
       4.804186151397e-01       3.507274604262e+02 
       4.995118705875e-01       3.228509798351e+02 
       5.200523072474e-01       2.969867137514e+02 
       5.423286679377e-01       2.718019232909e+02 
       5.667327863085e-01       2.473680055321e+02 
       5.938136937877e-01       2.239981382170e+02 
       6.243710236877e-01       2.010418494451e+02 
       6.596257769879e-01       1.785561569656e+02 
       7.015542815944e-01       1.561368370473e+02 
       7.535934250155e-01       1.334937078003e+02 
       8.222500464495e-01       1.101220977942e+02 
       9.209038690122e-01       8.554815395120e+01 
       1.076873221064e+00       6.012949946572e+01 
