# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 5.26676 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.937144383693e+01 
       1.321592908369e-05       5.802042598134e+01 
       1.663786896393e-05       7.399886463902e+01 
       2.094583603679e-05       9.218162381392e+01 
       2.636924525799e-05       1.149322369988e+02 
       3.319691294512e-05       1.439734548200e+02 
       4.179243729973e-05       1.795093864581e+02 
       5.261356133744e-05       2.243015855022e+02 
       6.623654937270e-05       2.801678418369e+02 
       8.338687519485e-05       3.499899517178e+02 
       1.049778561929e-04       4.372542019563e+02 
       1.321592908369e-04       5.461306121241e+02 
       1.663786896393e-04       6.820287234597e+02 
       2.094583603679e-04       8.516308605844e+02 
       2.636924525799e-04       1.063210110722e+03 
       3.319691294512e-04       1.326874735699e+03 
       4.179243729973e-04       1.655142850865e+03 
       5.261356133744e-04       2.063110425808e+03 
       6.623654937270e-04       2.568916016766e+03 
       8.338687519485e-04       3.193939820369e+03 
       1.049778561929e-03       3.962831775256e+03 
       1.321592908369e-03       4.902965924613e+03 
       1.663786896393e-03       6.042974942737e+03 
       2.094583603679e-03       7.410101704406e+03 
       2.636924525799e-03       9.025904537719e+03 
       3.319691294512e-03       1.090023928192e+04 
       4.179243729973e-03       1.302310392126e+04 
       5.261356133744e-03       1.535286871339e+04 
       6.623654937270e-03       1.780502703612e+04 
       8.338687519485e-03       2.023661408803e+04 
       1.049778561929e-02       2.242747599905e+04 
       1.321592908369e-02       2.407060507862e+04 
       1.663786896390e-02       2.478340451260e+04 
       2.094583587082e-02       2.417413552186e+04 
       2.636911872837e-02       2.203455214385e+04 
       3.317937869056e-02       1.867072703275e+04 
       4.120829406624e-02       1.524113942901e+04 
       4.798444742424e-02       1.325157345599e+04 
       5.289746506074e-02       1.226883080567e+04 
       5.694780992335e-02       1.165623162444e+04 
       6.056364813182e-02       1.119527310876e+04 
       6.393573213032e-02       1.079386582572e+04 
       6.716497467566e-02       1.040517905980e+04 
       7.031186225901e-02       1.000381860472e+04 
       7.341611559804e-02       9.577234412954e+03 
       7.650572248419e-02       9.121829518029e+03 
       7.960156020378e-02       8.640838471134e+03 
       8.271996349867e-02       8.142706350934e+03 
       8.587424589942e-02       7.639458901308e+03 
       8.907564861756e-02       7.145115033556e+03 
       9.233395774559e-02       6.673973787575e+03 
       9.565791982369e-02       6.239029695970e+03 
       9.905552975330e-02       5.850521352940e+03 
       1.025342350127e-01       5.514932874804e+03 
       1.061010832874e-01       5.234231652586e+03 
       1.097628307978e-01       5.005667291666e+03 
       1.135260226708e-01       4.821733685614e+03 
       1.173970530133e-01       4.670708533407e+03 
       1.213822100006e-01       4.537611851132e+03 
       1.254877097673e-01       4.405933391176e+03 
       1.297197218884e-01       4.260079302024e+03 
       1.340843885724e-01       4.088387351316e+03 
       1.385878392441e-01       3.885870577385e+03 
       1.432362019019e-01       3.655730565770e+03 
       1.480356124401e-01       3.408946563257e+03 
       1.529922229991e-01       3.161715858336e+03 
       1.581122103294e-01       2.931430669885e+03 
       1.634017851034e-01       2.732319533944e+03 
       1.688672030761e-01       2.571859404795e+03 
       1.745147789810e-01       2.448883275333e+03 
       1.803509040273e-01       2.353813673318e+03 
       1.863820678626e-01       2.271885049533e+03 
       1.926148858558e-01       2.185444858864e+03 
       1.990561325600e-01       2.080824173171e+03 
       2.057127822296e-01       1.955120892845e+03 
       2.125920572962e-01       1.816261426245e+03 
       2.197014857678e-01       1.678842381884e+03 
       2.270489686135e-01       1.557214394684e+03 
       2.346428583438e-01       1.459309618639e+03 
       2.424920502145e-01       1.383682927047e+03 
       2.506060877896e-01       1.320610022797e+03 
       2.589952850160e-01       1.257089373616e+03 
       2.676708675354e-01       1.184116381365e+03 
       2.766451367073e-01       1.102113124752e+03 
       2.859316608238e-01       1.019937690812e+03 
       2.955454993155e-01       9.476762105640e+02 
       3.055034675027e-01       8.890938837543e+02 
       3.158244517782e-01       8.396757519410e+02 
       3.265297882407e-01       7.912006172743e+02 
       3.376437220498e-01       7.388668339235e+02 
       3.491939705992e-01       6.848902881131e+02 
       3.612124217144e-01       6.352153219941e+02 
       3.737360095167e-01       5.927334570011e+02 
       3.868078269858e-01       5.545507682282e+02 
       4.004785581499e-01       5.163565370008e+02 
       4.148083483167e-01       4.777746175499e+02 
       4.298692845408e-01       4.415601681495e+02 
       4.457487418382e-01       4.090138682784e+02 
       4.625539829387e-01       3.784234754573e+02 
       4.804186151397e-01       3.481178681834e+02 
       4.995118705875e-01       3.191803037580e+02 
       5.200523072474e-01       2.924497703516e+02 
       5.423286679377e-01       2.665552484715e+02 
       5.667327863085e-01       2.415007923905e+02 
       5.938136937877e-01       2.176624915904e+02 
       6.243710236877e-01       1.943761457666e+02 
       6.596257769879e-01       1.716974644386e+02 
       7.015542815944e-01       1.492489346809e+02 
       7.535934250155e-01       1.267626205846e+02 
       8.222500464495e-01       1.037811474371e+02 
       9.209038690122e-01       7.990812185945e+01 
       1.076873221064e+00       5.555634848428e+01 
       1.325204453667e+00       3.410953806722e+01 
       1.665539575811e+00       1.973551151074e+01 
       2.096736862685e+00       1.125900428421e+01 
       2.639635119420e+00       6.373456262623e+00 
       3.323103729597e+00       3.583344821514e+00 
       4.183539731218e+00       2.001463461394e+00 
       5.266764478880e+00       1.111375060924e+00 
