# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 5.26676 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.512872824263e+01 
       1.321592908369e-05       5.654861391144e+01 
       1.663786896393e-05       7.243847325644e+01 
       2.094583603679e-05       9.320944049236e+01 
       2.636924525799e-05       1.147032804276e+02 
       3.319691294512e-05       1.437186856583e+02 
       4.179243729973e-05       1.791344207362e+02 
       5.261356133744e-05       2.237990192324e+02 
       6.623654937270e-05       2.803244243199e+02 
       8.338687519485e-05       3.501519895916e+02 
       1.049778561929e-04       4.373556884945e+02 
       1.321592908369e-04       5.461814394215e+02 
       1.663786896393e-04       6.820615153237e+02 
       2.094583603679e-04       8.516636703696e+02 
       2.636924525799e-04       1.063204833253e+03 
       3.319691294512e-04       1.326850525542e+03 
       4.179243729973e-04       1.655075967255e+03 
       5.261356133744e-04       2.062967072056e+03 
       6.623654937270e-04       2.568620982603e+03 
       8.338687519485e-04       3.193350788779e+03 
       1.049778561929e-03       3.961678116993e+03 
       1.321592908369e-03       4.900751105426e+03 
       1.663786896393e-03       6.038673454720e+03 
       2.094583603679e-03       7.402134621990e+03 
       2.636924525799e-03       9.011764937689e+03 
       3.319691294512e-03       1.087612046101e+04 
       4.179243729973e-03       1.298328935180e+04 
       5.261356133744e-03       1.528994920374e+04 
       6.623654937270e-03       1.770729217285e+04 
       8.338687519485e-03       2.008619634035e+04 
       1.049778561929e-02       2.220143650483e+04 
       1.321592908369e-02       2.374481650242e+04 
       1.663786896390e-02       2.434332148291e+04 
       2.094583587082e-02       2.362905329858e+04 
       2.636911872837e-02       2.143066075205e+04 
       3.317937869056e-02       1.808073793010e+04 
       4.120829406624e-02       1.472736422807e+04 
       4.798444742424e-02       1.280704735595e+04 
       5.289746506074e-02       1.186604085843e+04 
       5.694780992335e-02       1.128146047990e+04 
       6.056364813182e-02       1.084146696515e+04 
       6.393573213032e-02       1.045731067920e+04 
       6.716497467566e-02       1.008422514337e+04 
       7.031186225901e-02       9.698068322721e+03 
       7.341611559804e-02       9.287216468489e+03 
       7.650572248419e-02       8.848617618188e+03 
       7.960156020378e-02       8.385792460706e+03 
       8.271996349867e-02       7.907099294609e+03 
       8.587424589942e-02       7.424328636541e+03 
       8.907564861756e-02       6.950994805342e+03 
       9.233395774559e-02       6.500803065761e+03 
       9.565791982369e-02       6.086044407949e+03 
       9.905552975330e-02       5.716344649784e+03 
       1.025342350127e-01       5.397590342497e+03 
       1.061010832874e-01       5.131352160054e+03 
       1.097628307978e-01       4.914603691488e+03 
       1.135260226708e-01       4.739785631387e+03 
       1.173970530133e-01       4.595327415593e+03 
       1.213822100006e-01       4.466628037519e+03 
       1.254877097673e-01       4.337775998639e+03 
       1.297197218884e-01       4.193978843546e+03 
       1.340843885724e-01       4.024444863315e+03 
       1.385878392441e-01       3.824964117462e+03 
       1.432362019019e-01       3.599257259784e+03 
       1.480356124401e-01       3.358386795200e+03 
       1.529922229991e-01       3.118194488917e+03 
       1.581122103294e-01       2.895393669812e+03 
       1.634017851034e-01       2.703375095246e+03 
       1.688672030761e-01       2.548852452205e+03 
       1.745147789810e-01       2.430149398333e+03 
       1.803509040273e-01       2.337545090519e+03 
       1.863820678626e-01       2.256525203997e+03 
       1.926148858558e-01       2.170141099538e+03 
       1.990561325600e-01       2.065698472289e+03 
       2.057127822296e-01       1.941075251703e+03 
       2.125920572962e-01       1.804482661498e+03 
       2.197014857678e-01       1.670223818162e+03 
       2.270489686135e-01       1.551969920236e+03 
       2.346428583438e-01       1.456916681973e+03 
       2.424920502145e-01       1.383156119688e+03 
       2.506060877896e-01       1.320917862455e+03 
       2.589952850160e-01       1.257634057434e+03 
       2.676708675354e-01       1.184959488504e+03 
       2.766451367073e-01       1.103797208733e+03 
       2.859316608238e-01       1.022988764964e+03 
       2.955454993155e-01       9.521854388823e+02 
       3.055034675027e-01       8.946642978981e+02 
       3.158244517782e-01       8.457260630942e+02 
       3.265297882407e-01       7.973720106158e+02 
       3.376437220498e-01       7.451985354307e+02 
       3.491939705992e-01       6.916307753756e+02 
       3.612124217144e-01       6.424772839399e+02 
       3.737360095167e-01       6.003462274769e+02 
       3.868078269858e-01       5.622488721783e+02 
       4.004785581499e-01       5.240394567579e+02 
       4.148083483167e-01       4.855148349519e+02 
       4.298692845408e-01       4.494072844212e+02 
       4.457487418382e-01       4.168867497348e+02 
       4.625539829387e-01       3.862108438002e+02 
       4.804186151397e-01       3.558079563418e+02 
       4.995118705875e-01       3.267940483966e+02 
       5.200523072474e-01       2.999314797081e+02 
       5.423286679377e-01       2.738531910351e+02 
       5.667327863085e-01       2.486094043627e+02 
       5.938136937877e-01       2.245394374809e+02 
       6.243710236877e-01       2.009838758115e+02 
       6.596257769879e-01       1.779962242174e+02 
       7.015542815944e-01       1.551802469555e+02 
       7.535934250155e-01       1.322531495394e+02 
       8.222500464495e-01       1.087226174504e+02 
       9.209038690122e-01       8.413647471064e+01 
       1.076873221064e+00       5.884779765631e+01 
       1.325204453667e+00       3.633711927362e+01 
       1.665539575811e+00       2.108316555680e+01 
       2.096736862685e+00       1.199547404289e+01 
       2.639635119420e+00       6.724576530614e+00 
       3.323103729597e+00       3.720054692861e+00 
       4.183539731218e+00       2.037868511429e+00 
       5.266764478880e+00       1.112544250502e+00 
