# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 5.26676 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.510447546163e+01 
       1.321592908369e-05       5.652962480133e+01 
       1.663786896393e-05       7.242315658854e+01 
       2.094583603679e-05       9.319690562946e+01 
       2.636924525799e-05       1.146931413174e+02 
       3.319691294512e-05       1.437102055587e+02 
       4.179243729973e-05       1.791271982477e+02 
       5.261356133744e-05       2.237926057017e+02 
       6.623654937270e-05       2.803184757337e+02 
       8.338687519485e-05       3.501463010634e+02 
       1.049778561929e-04       4.373501230753e+02 
       1.321592908369e-04       5.461760410474e+02 
       1.663786896393e-04       6.820566607344e+02 
       2.094583603679e-04       8.516604128244e+02 
       2.636924525799e-04       1.063205571266e+03 
       3.319691294512e-04       1.326860334370e+03 
       4.179243729973e-04       1.655105203872e+03 
       5.261356133744e-04       2.063036376237e+03 
       6.623654937270e-04       2.568770713636e+03 
       8.338687519485e-04       3.193658260357e+03 
       1.049778561929e-03       3.962287576052e+03 
       1.321592908369e-03       4.901921960435e+03 
       1.663786896393e-03       6.040848448073e+03 
       2.094583603679e-03       7.406018108361e+03 
       2.636924525799e-03       9.018387286887e+03 
       3.319691294512e-03       1.088688633628e+04 
       4.179243729973e-03       1.300004406461e+04 
       5.261356133744e-03       1.531491807371e+04 
       6.623654937270e-03       1.774302330504e+04 
       8.338687519485e-03       2.013566411517e+04 
       1.049778561929e-02       2.226801853678e+04 
       1.321592908369e-02       2.383069125706e+04 
       1.663786896390e-02       2.444724821743e+04 
       2.094583587082e-02       2.374724770248e+04 
       2.636911872837e-02       2.155299985242e+04 
       3.317937869056e-02       1.819605240051e+04 
       4.120829406624e-02       1.482965488425e+04 
       4.798444742424e-02       1.290054102021e+04 
       5.289746506074e-02       1.195510583496e+04 
       5.694780992335e-02       1.136776751647e+04 
       6.056364813182e-02       1.092563420161e+04 
       6.393573213032e-02       1.053947811368e+04 
       6.716497467566e-02       1.016427729039e+04 
       7.031186225901e-02       9.775748432888e+03 
       7.341611559804e-02       9.362202381359e+03 
       7.650572248419e-02       8.920578645416e+03 
       7.960156020378e-02       8.454438463750e+03 
       8.271996349867e-02       7.972218288813e+03 
       8.587424589942e-02       7.485813554996e+03 
       8.907564861756e-02       7.008858262862e+03 
       9.233395774559e-02       6.555180423054e+03 
       9.565791982369e-02       6.137182671703e+03 
       9.905552975330e-02       5.764580248160e+03 
       1.025342350127e-01       5.443317705398e+03 
       1.061010832874e-01       5.174986986421e+03 
       1.097628307978e-01       4.956543095476e+03 
       1.135260226708e-01       4.780368178203e+03 
       1.173970530133e-01       4.634797173319e+03 
       1.213822100006e-01       4.505106782711e+03 
       1.254877097673e-01       4.375250138943e+03 
       1.297197218884e-01       4.230307453091e+03 
       1.340843885724e-01       4.059393068816e+03 
       1.385878392441e-01       3.858259538451e+03 
       1.432362019019e-01       3.630658979334e+03 
       1.480356124401e-01       3.387749959280e+03 
       1.529922229991e-01       3.145513051860e+03 
       1.581122103294e-01       2.920809121637e+03 
       1.634017851034e-01       2.727148262430e+03 
       1.688672030761e-01       2.571305420114e+03 
       1.745147789810e-01       2.451591677500e+03 
       1.803509040273e-01       2.358202124404e+03 
       1.863820678626e-01       2.276495378623e+03 
       1.926148858558e-01       2.189373308350e+03 
       1.990561325600e-01       2.084028968492e+03 
       2.057127822296e-01       1.958321115835e+03 
       2.125920572962e-01       1.820533614865e+03 
       2.197014857678e-01       1.685096858424e+03 
       2.270489686135e-01       1.565804282057e+03 
       2.346428583438e-01       1.469916459800e+03 
       2.424920502145e-01       1.395509152209e+03 
       2.506060877896e-01       1.332725326122e+03 
       2.589952850160e-01       1.268885082550e+03 
       2.676708675354e-01       1.195568577100e+03 
       2.766451367073e-01       1.113686872133e+03 
       2.859316608238e-01       1.032160733809e+03 
       2.955454993155e-01       9.607281466553e+02 
       3.055034675027e-01       9.026958722159e+02 
       3.158244517782e-01       8.533227071006e+02 
       3.265297882407e-01       8.045382317890e+02 
       3.376437220498e-01       7.518993128529e+02 
       3.491939705992e-01       6.978529065005e+02 
       3.612124217144e-01       6.482598744439e+02 
       3.737360095167e-01       6.057519700145e+02 
       3.868078269858e-01       5.673136563306e+02 
       4.004785581499e-01       5.287618872149e+02 
       4.148083483167e-01       4.898917119519e+02 
       4.298692845408e-01       4.534600760954e+02 
       4.457487418382e-01       4.206475199422e+02 
       4.625539829387e-01       3.896959879599e+02 
       4.804186151397e-01       3.590197171411e+02 
       4.995118705875e-01       3.297447611346e+02 
       5.200523072474e-01       3.026403926310e+02 
       5.423286679377e-01       2.763272288432e+02 
       5.667327863085e-01       2.508559630521e+02 
       5.938136937877e-01       2.265689947954e+02 
       6.243710236877e-01       2.028009646155e+02 
       6.596257769879e-01       1.796058713800e+02 
       7.015542815944e-01       1.565839056603e+02 
       7.535934250155e-01       1.334497200965e+02 
       8.222500464495e-01       1.097065472509e+02 
       9.209038690122e-01       8.489811191265e+01 
       1.076873221064e+00       5.938066716416e+01 
       1.325204453667e+00       3.666624280353e+01 
       1.665539575811e+00       2.127416342686e+01 
       2.096736862685e+00       1.210415761919e+01 
       2.639635119420e+00       6.785508531748e+00 
       3.323103729597e+00       3.753764114450e+00 
       4.183539731218e+00       2.056335313136e+00 
       5.266764478880e+00       1.122626127235e+00 
