# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 1.07687 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.509244122118e+01 
       1.321592908369e-05       5.659775444794e+01 
       1.663786896393e-05       7.241763118130e+01 
       2.094583603679e-05       9.321224510279e+01 
       2.636924525799e-05       1.146970531207e+02 
       3.319691294512e-05       1.435225282593e+02 
       4.179243729973e-05       1.792036806535e+02 
       5.261356133744e-05       2.242660702110e+02 
       6.623654937270e-05       2.803522904045e+02 
       8.338687519485e-05       3.501454841151e+02 
       1.049778561929e-04       4.373398001964e+02 
       1.321592908369e-04       5.461967862015e+02 
       1.663786896393e-04       6.820669122523e+02 
       2.094583603679e-04       8.516427153391e+02 
       2.636924525799e-04       1.063205965449e+03 
       3.319691294512e-04       1.326846205726e+03 
       4.179243729973e-04       1.655074242955e+03 
       5.261356133744e-04       2.062968009373e+03 
       6.623654937270e-04       2.568621141501e+03 
       8.338687519485e-04       3.193349106431e+03 
       1.049778561929e-03       3.961674414109e+03 
       1.321592908369e-03       4.900743209435e+03 
       1.663786896393e-03       6.038640893947e+03 
       2.094583603679e-03       7.402017648726e+03 
       2.636924525799e-03       9.011427705353e+03 
       3.319691294512e-03       1.087517090204e+04 
       4.179243729973e-03       1.298098187044e+04 
       5.261356133744e-03       1.528511341832e+04 
       6.623654937270e-03       1.769831348701e+04 
       8.338687519485e-03       2.007043133279e+04 
       1.049778561929e-02       2.217496355829e+04 
       1.321592908369e-02       2.370235140350e+04 
       1.663786896390e-02       2.427876440254e+04 
       2.094583587082e-02       2.353722320898e+04 
       2.636911872837e-02       2.131030805035e+04 
       3.317937869056e-02       1.793715933531e+04 
       4.120829406624e-02       1.456998345090e+04 
       4.798444742424e-02       1.264182835784e+04 
       5.289746506074e-02       1.169441677415e+04 
       5.694780992335e-02       1.110372699124e+04 
       6.056364813182e-02       1.065791625879e+04 
       6.393573213032e-02       1.026849674208e+04 
       6.716497467566e-02       9.890929992999e+03 
       7.031186225901e-02       9.501384663445e+03 
       7.341611559804e-02       9.088465923483e+03 
       7.650572248419e-02       8.649304513237e+03 
       7.960156020378e-02       8.187444662624e+03 
       8.271996349867e-02       7.711236672184e+03 
       8.587424589942e-02       7.232305985129e+03 
       8.907564861756e-02       6.763902318447e+03 
       9.233395774559e-02       6.319342519325e+03 
       9.565791982369e-02       5.910555413230e+03 
       9.905552975330e-02       5.546686961879e+03 
       1.025342350127e-01       5.233423085596e+03 
       1.061010832874e-01       4.971818319927e+03 
       1.097628307978e-01       4.758798418760e+03 
       1.135260226708e-01       4.586270237850e+03 
       1.173970530133e-01       4.443565619076e+03 
       1.213822100006e-01       4.315748662207e+03 
       1.254877097673e-01       4.187157546897e+03 
       1.297197218884e-01       4.044548491535e+03 
       1.340843885724e-01       3.877225552350e+03 
       1.385878392441e-01       3.680446923793e+03 
       1.432362019019e-01       3.459162466667e+03 
       1.480356124401e-01       3.224147980192e+03 
       1.529922229991e-01       2.990420579323e+03 
       1.581122103294e-01       2.774592983520e+03 
       1.634017851034e-01       2.589203478561e+03 
       1.688672030761e-01       2.440426051970e+03 
       1.745147789810e-01       2.326234598921e+03 
       1.803509040273e-01       2.236984875161e+03 
       1.863820678626e-01       2.158533609230e+03 
       1.926148858558e-01       2.074571405641e+03 
       1.990561325600e-01       1.973126935769e+03 
       2.057127822296e-01       1.852505936768e+03 
       2.125920572962e-01       1.720933736900e+03 
       2.197014857678e-01       1.592246726478e+03 
       2.270489686135e-01       1.479443884461e+03 
       2.346428583438e-01       1.389153629241e+03 
       2.424920502145e-01       1.319213975481e+03 
       2.506060877896e-01       1.260052278318e+03 
       2.589952850160e-01       1.199604964046e+03 
       2.676708675354e-01       1.130081420929e+03 
       2.766451367073e-01       1.052578369556e+03 
       2.859316608238e-01       9.758124466930e+02 
       2.955454993155e-01       9.089066603635e+02 
       3.055034675027e-01       8.546870286787e+02 
       3.158244517782e-01       8.085024441351e+02 
       3.265297882407e-01       7.626933277770e+02 
       3.376437220498e-01       7.131909370266e+02 
       3.491939705992e-01       6.624721162726e+02 
       3.612124217144e-01       6.160951622408e+02 
       3.737360095167e-01       5.764022307499e+02 
       3.868078269858e-01       5.404539082060e+02 
       4.004785581499e-01       5.042893638278e+02 
       4.148083483167e-01       4.678280713375e+02 
       4.298692845408e-01       4.337040185397e+02 
       4.457487418382e-01       4.029584819672e+02 
       4.625539829387e-01       3.738824166837e+02 
       4.804186151397e-01       3.450178507799e+02 
       4.995118705875e-01       3.174618932588e+02 
       5.200523072474e-01       2.918981989626e+02 
       5.423286679377e-01       2.670143841336e+02 
       5.667327863085e-01       2.428794888432e+02 
       5.938136937877e-01       2.198046303562e+02 
       6.243710236877e-01       1.971452714024e+02 
       6.596257769879e-01       1.749573902121e+02 
       7.015542815944e-01       1.528489458242e+02 
       7.535934250155e-01       1.305330467980e+02 
       8.222500464495e-01       1.075175069149e+02 
       9.209038690122e-01       8.335114335529e+01 
       1.076873221064e+00       5.839229708150e+01 
