# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 1.07687 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778429753e-05       4.509275741370e+01 
       1.321592741969e-05       5.659803502035e+01 
       1.663786686908e-05       7.241758603409e+01 
       2.094583339953e-05       9.321230696765e+01 
       2.636924193787e-05       1.146969330851e+02 
       3.319690876534e-05       1.435226489404e+02 
       4.179243203769e-05       1.792036806263e+02 
       5.261355471293e-05       2.242660497861e+02 
       6.623654103293e-05       2.803522545110e+02 
       8.338686469571e-05       3.501454528813e+02 
       1.049778429753e-04       4.373397486973e+02 
       1.321592741969e-04       5.461967308284e+02 
       1.663786686908e-04       6.820668466165e+02 
       2.094583339953e-04       8.516426373123e+02 
       2.636924193787e-04       1.063205874991e+03 
       3.319690876534e-04       1.326846108238e+03 
       4.179243203769e-04       1.655074150236e+03 
       5.261355471293e-04       2.062967947601e+03 
       6.623654103293e-04       2.568621163675e+03 
       8.338686469571e-04       3.193349313398e+03 
       1.049778429753e-03       3.961674983178e+03 
       1.321592741969e-03       4.900744447104e+03 
       1.663786686908e-03       6.038643302650e+03 
       2.094583339953e-03       7.402028543137e+03 
       2.636924193787e-03       9.011434900657e+03 
       3.319690876534e-03       1.087518363738e+04 
       4.179243203769e-03       1.298100225956e+04 
       5.261355471293e-03       1.528511125724e+04 
       6.623654103293e-03       1.769835058275e+04 
       8.338686469571e-03       2.007051420371e+04 
       1.049778429753e-02       2.217505267838e+04 
       1.321592741969e-02       2.370245125524e+04 
       1.663786686905e-02       2.427885148903e+04 
       2.094583323354e-02       2.353724722966e+04 
       2.636911539831e-02       2.131020978624e+04 
       3.317937351864e-02       1.793686606613e+04 
       4.120826731141e-02       1.456941869449e+04 
       4.798436345148e-02       1.264100449844e+04 
       5.289734650991e-02       1.169337364906e+04 
       5.694766912216e-02       1.110246619211e+04 
       6.056349041954e-02       1.065645832499e+04 
       6.393556024503e-02       1.026683578201e+04 
       6.716479019190e-02       9.889086533475e+03 
       7.031166614506e-02       9.499373836906e+03 
       7.341590846900e-02       9.086308242084e+03 
       7.650550473146e-02       8.647029605650e+03 
       7.960133206736e-02       8.185072342292e+03 
       8.271972511035e-02       7.708797868290e+03 
       8.587399731004e-02       7.229809529283e+03 
       8.907538981488e-02       6.761373415856e+03 
       9.233368866639e-02       6.316803026787e+03 
       9.565764036228e-02       5.908007937503e+03 
       9.905523976748e-02       5.544159862892e+03 
       1.025339343281e-01       5.230784385007e+03 
       1.061007717007e-01       4.969124042772e+03 
       1.097625080791e-01       4.755940606253e+03 
       1.135256885650e-01       4.583629526971e+03 
       1.173967072419e-01       4.440720485814e+03 
       1.213818522620e-01       4.312881951555e+03 
       1.254873397381e-01       4.184628334744e+03 
       1.297193392234e-01       4.041696682335e+03 
       1.340839929052e-01       3.873828950799e+03 
       1.385874301870e-01       3.677273686165e+03 
       1.432357790466e-01       3.455944396569e+03 
       1.480351753572e-01       3.220821389997e+03 
       1.529917712385e-01       2.987334059325e+03 
       1.581117434204e-01       2.771569017262e+03 
       1.634013025543e-01       2.586227676358e+03 
       1.688667043749e-01       2.437449567687e+03 
       1.745142635947e-01       2.323247765505e+03 
       1.803503714025e-01       2.233961494243e+03 
       1.863815174252e-01       2.155400430031e+03 
       1.926143170110e-01       2.071524710918e+03 
       1.990555446924e-01       1.970164606022e+03 
       2.057121747032e-01       1.849400590695e+03 
       2.125914294540e-01       1.717769659001e+03 
       2.197008369320e-01       1.589280316288e+03 
       2.270482980852e-01       1.476564609337e+03 
       2.346421654023e-01       1.386167226503e+03 
       2.424913341175e-01       1.316256375215e+03 
       2.506053477718e-01       1.257150593375e+03 
       2.589945202891e-01       1.196593751971e+03 
       2.676700772867e-01       1.127094738232e+03 
       2.766443200987e-01       1.049747590011e+03 
       2.859308169901e-01       9.729626373253e+02 
       2.955446273634e-01       9.061049226328e+02 
       3.055025665085e-01       8.519242049770e+02 
       3.158235207854e-01       8.057113984468e+02 
       3.265288262580e-01       7.599633302701e+02 
       3.376427280484e-01       7.104492148055e+02 
       3.491929435094e-01       6.598239434828e+02 
       3.612113604227e-01       6.134782862492e+02 
       3.737349128627e-01       5.738556012235e+02 
       3.868066937591e-01       5.379071974114e+02 
       4.004773870868e-01       5.017961812055e+02 
       4.148071380991e-01       4.653709768821e+02 
       4.298680337959e-01       4.313192465198e+02 
       4.457474491418e-01       4.006055396653e+02 
       4.625526468245e-01       3.715768539348e+02 
       4.804172341184e-01       3.427683360315e+02 
       4.995104431844e-01       3.152645701925e+02 
       5.200508320721e-01       2.897515983142e+02 
       5.423271438125e-01       2.649255412695e+02 
       5.667312125082e-01       2.408562321087e+02 
       5.938120704958e-01       2.178455443603e+02 
       6.243693528985e-01       1.952595982487e+02 
       6.596240643739e-01       1.731552145328e+02 
       7.015525406087e-01       1.511315600656e+02 
       7.535916865187e-01       1.289181581806e+02 
       8.222483825427e-01       1.060266940135e+02 
       9.209024489406e-01       8.201669108337e+01 
       1.076872361027e+00       5.726475268243e+01 
