# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 1.07687 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778429753e-05       4.506851534379e+01 
       1.321592741969e-05       5.657903608095e+01 
       1.663786686908e-05       7.240227219706e+01 
       2.094583339953e-05       9.319979579556e+01 
       2.636924193787e-05       1.146867944296e+02 
       3.319690876534e-05       1.435141735125e+02 
       4.179243203769e-05       1.791964394046e+02 
       5.261355471293e-05       2.242596059509e+02 
       6.623654103293e-05       2.803463009036e+02 
       8.338686469571e-05       3.501397648647e+02 
       1.049778429753e-04       4.373341846948e+02 
       1.321592741969e-04       5.461913327424e+02 
       1.663786686908e-04       6.820619941886e+02 
       2.094583339953e-04       8.516393820365e+02 
       2.636924193787e-04       1.063206614542e+03 
       3.319690876534e-04       1.326855918367e+03 
       4.179243203769e-04       1.655103387419e+03 
       5.261355471293e-04       2.063037253224e+03 
       6.623654103293e-04       2.568770896517e+03 
       8.338686469571e-04       3.193656785431e+03 
       1.049778429753e-03       3.962284437913e+03 
       1.321592741969e-03       4.901915297321e+03 
       1.663786686908e-03       6.040818277901e+03 
       2.094583339953e-03       7.405911956729e+03 
       2.636924193787e-03       9.018056977575e+03 
       3.319690876534e-03       1.088594856384e+04 
       4.179243203769e-03       1.299775402092e+04 
       5.261355471293e-03       1.531007224502e+04 
       6.623654103293e-03       1.773406367325e+04 
       8.338686469571e-03       2.011994335566e+04 
       1.049778429753e-02       2.224155558644e+04 
       1.321592741969e-02       2.378817281076e+04 
       1.663786686905e-02       2.438250303087e+04 
       2.094583323354e-02       2.365498235778e+04 
       2.636911539831e-02       2.143186126787e+04 
       3.317937351864e-02       1.805126295275e+04 
       4.120826731141e-02       1.467061229165e+04 
       4.798436345148e-02       1.273328598507e+04 
       5.289734650991e-02       1.178114256319e+04 
       5.694766912216e-02       1.118740381853e+04 
       6.056349041954e-02       1.073918921311e+04 
       6.393556024503e-02       1.034750653535e+04 
       6.716479019190e-02       9.967589564276e+03 
       7.031166614506e-02       9.575462407458e+03 
       7.341590846900e-02       9.159671976759e+03 
       7.650550473146e-02       8.717351187023e+03 
       7.960133206736e-02       8.252075223446e+03 
       8.271972511035e-02       7.772283730289e+03 
       8.587399731004e-02       7.289683510323e+03 
       8.907538981488e-02       6.817658344470e+03 
       9.233368866639e-02       6.369641260404e+03 
       9.565764036228e-02       5.957650228469e+03 
       9.905523976748e-02       5.590942520549e+03 
       1.025339343281e-01       5.275098585421e+03 
       1.061007717007e-01       5.011379340070e+03 
       1.097625080791e-01       4.796526027316e+03 
       1.135256885650e-01       4.622875038198e+03 
       1.173967072419e-01       4.478862299129e+03 
       1.213818522620e-01       4.350036210507e+03 
       1.254873397381e-01       4.220779421026e+03 
       1.297193392234e-01       4.076706203874e+03 
       1.340839929052e-01       3.907469200230e+03 
       1.385874301870e-01       3.709283491468e+03 
       1.432357790466e-01       3.486095778875e+03 
       1.480351753572e-01       3.248981781955e+03 
       1.529917712385e-01       3.013506148734e+03 
       1.581117434204e-01       2.795897545303e+03 
       1.634013025543e-01       2.608970658850e+03 
       1.688667043749e-01       2.458921180785e+03 
       1.745142635947e-01       2.343746802228e+03 
       1.803503714025e-01       2.253703149737e+03 
       1.863815174252e-01       2.174475652122e+03 
       1.926143170110e-01       2.089882959609e+03 
       1.990555446924e-01       1.987647356954e+03 
       2.057121747032e-01       1.865831950920e+03 
       2.125914294540e-01       1.733049295660e+03 
       2.197008369320e-01       1.603432568350e+03 
       2.270482980852e-01       1.489726802400e+03 
       2.346421654023e-01       1.398535719623e+03 
       2.424913341175e-01       1.328011922147e+03 
       2.506053477718e-01       1.268388051504e+03 
       2.589945202891e-01       1.207298698502e+03 
       2.676700772867e-01       1.137185756506e+03 
       2.766443200987e-01       1.059152986353e+03 
       2.859308169901e-01       9.816860783021e+02 
       2.955446273634e-01       9.142342098190e+02 
       3.055025665085e-01       8.595720932614e+02 
       3.158235207854e-01       8.129486142195e+02 
       3.265288262580e-01       7.667933482187e+02 
       3.376427280484e-01       7.168375279824e+02 
       3.491929435094e-01       6.657599297404e+02 
       3.612113604227e-01       6.189998725383e+02 
       3.737349128627e-01       5.790228120240e+02 
       3.868066937591e-01       5.427527098330e+02 
       4.004773870868e-01       5.063181641108e+02 
       4.148071380991e-01       4.695662585883e+02 
       4.298680337959e-01       4.352089186112e+02 
       4.457474491418e-01       4.042194357659e+02 
       4.625526468245e-01       3.749299417745e+02 
       4.804172341184e-01       3.458623925126e+02 
       4.995104431844e-01       3.181111799594e+02 
       5.200508320721e-01       2.923685686799e+02 
       5.423271438125e-01       2.673189251011e+02 
       5.667312125082e-01       2.430327291803e+02 
       5.938120704958e-01       2.198145971997e+02 
       6.243693528985e-01       1.970249340435e+02 
       6.596240643739e-01       1.747210836528e+02 
       7.015525406087e-01       1.524985969812e+02 
       7.535916865187e-01       1.300845551161e+02 
       8.222483825427e-01       1.069862259409e+02 
       9.209024489406e-01       8.275913915411e+01 
       1.076872361027e+00       5.778328764856e+01 
