# Matter power spectrum P(k) at redshift z=0
# for k=1.04968e-05 to 105.076 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049678944522e-05       4.505520644735e+01 
       1.321467497484e-05       5.660447066525e+01 
       1.663629013443e-05       7.224567125971e+01 
       2.094384840822e-05       9.138448066784e+01 
       2.636674298187e-05       1.146249272835e+02 
       3.319376276612e-05       1.445297354748e+02 
       4.178847145934e-05       1.792692401348e+02 
       5.260856864019e-05       2.243574320540e+02 
       6.623026393926e-05       2.802794576150e+02 
       8.337896230296e-05       3.502300291179e+02 
       1.049678944522e-04       4.373976540397e+02 
       1.321467497484e-04       5.462451403311e+02 
       1.663629013443e-04       6.821369502208e+02 
       2.094384840822e-04       8.517382051418e+02 
       2.636674298187e-04       1.063296915135e+03 
       3.319376276612e-04       1.326994434478e+03 
       4.178847145934e-04       1.655246478672e+03 
       5.260856864019e-04       2.063148919033e+03 
       6.623026393926e-04       2.568767429168e+03 
       8.337896230296e-04       3.193333135840e+03 
       1.049678944522e-03       3.961216180725e+03 
       1.321467497484e-03       4.899347599301e+03 
       1.663629013443e-03       6.035593112712e+03 
       2.094384840822e-03       7.396446431632e+03 
       2.636674298187e-03       9.002427178299e+03 
       3.319376276612e-03       1.086214534926e+04 
       4.178847145934e-03       1.296374716030e+04 
       5.260856864019e-03       1.526384340399e+04 
       6.623026393926e-03       1.767411522645e+04 
       8.337896230296e-03       2.004559263366e+04 
       1.049678944522e-02       2.215162811885e+04 
       1.321467497484e-02       2.368468854387e+04 
       1.663629013440e-02       2.427054308004e+04 
       2.094384824230e-02       2.353915710113e+04 
       2.636661648507e-02       2.132154407629e+04 
       3.317623225383e-02       1.795416378408e+04 
       4.120442873706e-02       1.458878087002e+04 
       4.798005690470e-02       1.266060025492e+04 
       5.289267931576e-02       1.171297022223e+04 
       5.694268527209e-02       1.112205949142e+04 
       6.055821475929e-02       1.067598238816e+04 
       6.393000750773e-02       1.028626971635e+04 
       6.715896910392e-02       9.908311148706e+03 
       7.030558155070e-02       9.518284478287e+03 
       7.340956252427e-02       9.104806663259e+03 
       7.649889762049e-02       8.664997840250e+03 
       7.959446245556e-02       8.202402143546e+03 
       8.271259044315e-02       7.725411694333e+03 
       8.586659401618e-02       7.245659766198e+03 
       8.906771344839e-02       6.776425773854e+03 
       9.232573400755e-02       6.331071498184e+03 
       9.564940149042e-02       5.921526657916e+03 
       9.904671011393e-02       5.557002278411e+03 
       1.025251067149e-01       5.243024510609e+03 
       1.060916383687e-01       4.980864226405e+03 
       1.097530607089e-01       4.767272606546e+03 
       1.135159182913e-01       4.594635129575e+03 
       1.173866046641e-01       4.451456477964e+03 
       1.213714074519e-01       4.323382288168e+03 
       1.254765422439e-01       4.194887374886e+03 
       1.297081780734e-01       4.051671736991e+03 
       1.340724566088e-01       3.883470083637e+03 
       1.385755067357e-01       3.686494642954e+03 
       1.432234559133e-01       3.464681022700e+03 
       1.480224394954e-01       3.229027309777e+03 
       1.529786090804e-01       2.995005380668e+03 
       1.580981408746e-01       2.778736122641e+03 
       1.633872450024e-01       2.592954296649e+03 
       1.688521766669e-01       2.443820848377e+03 
       1.744992500439e-01       2.329345563390e+03 
       1.803348557775e-01       2.239848589667e+03 
       1.863654829410e-01       2.161123246209e+03 
       1.925977463168e-01       2.076968846968e+03 
       1.990384198566e-01       1.975303093002e+03 
       2.056944771944e-01       1.854327457551e+03 
       2.125731401179e-01       1.722418308785e+03 
       2.196819359626e-01       1.593538962114e+03 
       2.270287649902e-01       1.480519378110e+03 
       2.346219789611e-01       1.389955414765e+03 
       2.424704723310e-01       1.319844794437e+03 
       2.505837878024e-01       1.260546623062e+03 
       2.589722383901e-01       1.199881047368e+03 
       2.676470487180e-01       1.130199437240e+03 
       2.766205190285e-01       1.052622090918e+03 
       2.859062163784e-01       9.756733990889e+02 
       2.955191988249e-01       9.086204776437e+02 
       3.054762801517e-01       8.542895701553e+02 
       3.157963450224e-01       8.079730544112e+02 
       3.265007275784e-01       7.620795056210e+02 
       3.376136707512e-01       7.124590469896e+02 
       3.491628893818e-01       6.616800188695e+02 
       3.611802683530e-01       6.152233338174e+02 
       3.737027383696e-01       5.754819263162e+02 
       3.867733884160e-01       5.394449065457e+02 
       4.004428978076e-01       5.032269179388e+02 
       4.147714062433e-01       4.667099426469e+02 
       4.298309940325e-01       4.325544930065e+02 
       4.457090279840e-01       4.017634583182e+02 
       4.625127607093e-01       3.726525371999e+02 
       4.803757868397e-01       3.437605295135e+02 
       4.994673223874e-01       3.161825251885e+02 
       5.200059043445e-01       2.906008395645e+02 
       5.422802476086e-01       2.657036472785e+02 
       5.666821475986e-01       2.415661110921e+02 
       5.937605815982e-01       2.184895735326e+02 
       6.243151030444e-01       1.958386797180e+02 
       6.595665890406e-01       1.736693282677e+02 
       7.014911631682e-01       1.515837735315e+02 
       7.535253495037e-01       1.293061620658e+02 
       8.221752818685e-01       1.063483268958e+02 
       9.208192071400e-01       8.226774578067e+01 
