# Matter power spectrum P(k) at redshift z=0
# for k=1.04968e-05 to 105.076 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049678944522e-05       4.489001224546e+01 
       1.321467497484e-05       5.647311330239e+01 
       1.663629013443e-05       7.213938795093e+01 
       2.094384840822e-05       9.129821928231e+01 
       2.636674298187e-05       1.145544077133e+02 
       3.319376276612e-05       1.444707827352e+02 
       4.178847145934e-05       1.792192401235e+02 
       5.260856864019e-05       2.243133487552e+02 
       6.623026393926e-05       2.802391107672e+02 
       8.337896230296e-05       3.501915747264e+02 
       1.049678944522e-04       4.373597418500e+02 
       1.321467497484e-04       5.462071210886e+02 
       1.663629013443e-04       6.820994929475e+02 
       2.094384840822e-04       8.517045582856e+02 
       2.636674298187e-04       1.063275413440e+03 
       3.319376276612e-04       1.327003309279e+03 
       4.178847145934e-04       1.655322686627e+03 
       5.260856864019e-04       2.063363512287e+03 
       6.623026393926e-04       2.569250143527e+03 
       8.337896230296e-04       3.194306920776e+03 
       1.049678944522e-03       3.963037085409e+03 
       1.321467497484e-03       4.902543087698e+03 
       1.663629013443e-03       6.040911614790e+03 
       2.094384840822e-03       7.404958030791e+03 
       2.636674298187e-03       9.015625575822e+03 
       3.319376276612e-03       1.088194874089e+04 
       4.178847145934e-03       1.299266925461e+04 
       5.260856864019e-03       1.530487298327e+04 
       6.623026393926e-03       1.772998887410e+04 
       8.337896230296e-03       2.011877558955e+04 
       1.049678944522e-02       2.224529877311e+04 
       1.321467497484e-02       2.379900366230e+04 
       1.663629013440e-02       2.440254660964e+04 
       2.094384824230e-02       2.368229642898e+04 
       2.636661648507e-02       2.146375056593e+04 
       3.317623225383e-02       1.808340098499e+04 
       4.120442873706e-02       1.470008897025e+04 
       4.798005690470e-02       1.276049032935e+04 
       5.289267931576e-02       1.180711358437e+04 
       5.694268527209e-02       1.121259090429e+04 
       6.055821475929e-02       1.076372836152e+04 
       6.393000750773e-02       1.037148368209e+04 
       6.715896910392e-02       9.990946956787e+03 
       7.030558155070e-02       9.598133147141e+03 
       7.340956252427e-02       9.181583946052e+03 
       7.649889762049e-02       8.738408016096e+03 
       7.959446245556e-02       8.272188512103e+03 
       8.271259044315e-02       7.791395738804e+03 
       8.586659401618e-02       7.307768148943e+03 
       8.906771344839e-02       6.834704788343e+03 
       9.232573400755e-02       6.385688348385e+03 
       9.564940149042e-02       5.972757517840e+03 
       9.904671011393e-02       5.605208930912e+03 
       1.025251067149e-01       5.288622328115e+03 
       1.060916383687e-01       5.024284858403e+03 
       1.097530607089e-01       4.808924007164e+03 
       1.135159182913e-01       4.634862579048e+03 
       1.173866046641e-01       4.490507576253e+03 
       1.213714074519e-01       4.361380731442e+03 
       1.254765422439e-01       4.231821522890e+03 
       1.297081780734e-01       4.087404391194e+03 
       1.340724566088e-01       3.917773269262e+03 
       1.385755067357e-01       3.719106410698e+03 
       1.432234559133e-01       3.495373723059e+03 
       1.480224394954e-01       3.257670475723e+03 
       1.529786090804e-01       3.021606028804e+03 
       1.580981408746e-01       2.803445275111e+03 
       1.633872450024e-01       2.616037348455e+03 
       1.688521766669e-01       2.465599346401e+03 
       1.744992500439e-01       2.350124727289e+03 
       1.803348557775e-01       2.259848283993e+03 
       1.863654829410e-01       2.180437263686e+03 
       1.925977463168e-01       2.095546421573e+03 
       1.990384198566e-01       1.992985380004e+03 
       2.056944771944e-01       1.870939282163e+03 
       2.125731401179e-01       1.737859360938e+03 
       2.196819359626e-01       1.607834176724e+03 
       2.270287649902e-01       1.493809081590e+03 
       2.346219789611e-01       1.402439582428e+03 
       2.424704723310e-01       1.331705874316e+03 
       2.505837878024e-01       1.271880772004e+03 
       2.589722383901e-01       1.210675077580e+03 
       2.676470487180e-01       1.140371368115e+03 
       2.766205190285e-01       1.062099980719e+03 
       2.859062163784e-01       9.844620801186e+02 
       2.955191988249e-01       9.168083534707e+02 
       3.054762801517e-01       8.619906853496e+02 
       3.157963450224e-01       8.152591651065e+02 
       3.265007275784e-01       7.689540055878e+02 
       3.376136707512e-01       7.188879163566e+02 
       3.491628893818e-01       6.676524195411e+02 
       3.611802683530e-01       6.207779340225e+02 
       3.737027383696e-01       5.806790632673e+02 
       3.867733884160e-01       5.443177900317e+02 
       4.004428978076e-01       5.077736910188e+02 
       4.147714062433e-01       4.709277020615e+02 
       4.298309940325e-01       4.364643951532e+02 
       4.457090279840e-01       4.053957538351e+02 
       4.625127607093e-01       3.760222760877e+02 
