# Matter power spectrum P(k) at redshift z=0
# for k=1.04821e-05 to 1.07559 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048206417578e-05       4.585692919581e+01 
       1.319613695894e-05       5.688820285046e+01 
       1.661295215513e-05       7.445569354550e+01 
       2.091446763301e-05       1.237524890815e+02 
       2.632975477735e-05       1.143604519980e+02 
       3.314719737551e-05       1.434381044641e+02 
       4.172984910579e-05       1.807044203712e+02 
       5.253476746961e-05       2.252591174697e+02 
       6.613735377019e-05       2.815420331194e+02 
       8.326199533011e-05       3.519027685803e+02 
       1.048206417578e-04       4.396795187835e+02 
       1.319613695894e-04       5.491158183334e+02 
       1.661295215513e-04       6.856647361148e+02 
       2.091446763301e-04       8.561502351258e+02 
       2.632975477735e-04       1.068770837270e+03 
       3.314719737551e-04       1.333738068106e+03 
       4.172984910579e-04       1.663547478808e+03 
       5.253476746961e-04       2.073325765286e+03 
       6.613735377019e-04       2.581179933865e+03 
       8.326199533011e-04       3.208463875800e+03 
       1.048206417578e-03       3.979805946686e+03 
       1.319613695894e-03       4.922618749950e+03 
       1.661295215513e-03       6.065619470635e+03 
       2.091446763301e-03       7.436690204533e+03 
       2.632975477735e-03       9.058354935215e+03 
       3.314719737551e-03       1.094152831597e+04 
       4.172984910579e-03       1.307655160335e+04 
       5.253476746961e-03       1.542155359153e+04 
       6.613735377019e-03       1.788813465148e+04 
       8.326199533011e-03       2.032568451848e+04 
       1.048206417578e-02       2.250556422129e+04 
       1.319613695894e-02       2.411208847893e+04 
       1.661295215510e-02       2.475690284519e+04 
       2.091446747515e-02       2.405626300238e+04 
       2.632963292610e-02       2.182753914111e+04 
       3.313013999261e-02       1.840668421652e+04 
       4.115640554464e-02       1.496646125669e+04 
       4.794828797936e-02       1.298629292270e+04 
       5.286956077524e-02       1.201402409204e+04 
       5.692382842666e-02       1.140850285292e+04 
       6.054180906221e-02       1.095179970181e+04 
       6.391515563709e-02       1.055289281046e+04 
       6.714515915243e-02       1.016602831130e+04 
       7.029249078722e-02       9.766727419004e+03 
       7.339697180434e-02       9.343243035934e+03 
       7.648664926866e-02       8.892605995686e+03 
       7.958243755853e-02       8.418463235540e+03 
       8.270069570981e-02       7.929407157575e+03 
       8.585475373454e-02       7.437355944580e+03 
       8.905586433346e-02       6.955960963728e+03 
       9.231382177611e-02       6.498946227460e+03 
       9.563737851298e-02       6.078574945384e+03 
       9.903453376424e-02       5.704325102905e+03 
       1.025127381857e-01       5.381912497704e+03 
       1.060790418086e-01       5.112656450367e+03 
       1.097402025845e-01       4.893263988730e+03 
       1.135027669138e-01       4.715960573461e+03 
       1.173731298342e-01       4.568958770279e+03 
       1.213575801938e-01       4.437540132136e+03 
       1.254623346068e-01       4.305777766341e+03 
       1.296935629825e-01       4.158973540147e+03 
       1.340574077537e-01       3.986555810526e+03 
       1.385599984856e-01       3.784592756847e+03 
       1.432074632504e-01       3.557078373019e+03 
       1.480059379593e-01       3.315267616832e+03 
       1.529615747160e-01       3.075015854981e+03 
       1.580805501780e-01       2.852889796320e+03 
       1.633690748587e-01       2.661990466418e+03 
       1.688334042740e-01       2.508690852794e+03 
       1.744798528167e-01       2.391003094469e+03 
       1.803148112287e-01       2.299032019333e+03 
       1.863447685310e-01       2.218207663252e+03 
       1.925763392693e-01       2.131926758632e+03 
       1.990162969349e-01       2.027711091536e+03 
       2.056716144325e-01       1.903654594180e+03 
       2.125495125018e-01       1.768309984885e+03 
       2.196575170556e-01       1.635972860721e+03 
       2.270035264966e-01       1.519846797741e+03 
       2.345958902205e-01       1.426751014797e+03 
       2.424434997341e-01       1.354683140200e+03 
       2.505558941179e-01       1.293785109691e+03 
       2.589433819878e-01       1.231552759646e+03 
       2.676171826710e-01       1.160091199812e+03 
       2.765895900703e-01       1.080495041869e+03 
       2.858741636854e-01       1.001480358366e+03 
       2.954859525843e-01       9.325809564716e+02 
       3.054417598624e-01       8.767474866591e+02 
       3.157604574612e-01       8.291827839280e+02 
       3.264633643405e-01       7.820957343867e+02 
       3.375747052426e-01       7.311906740873e+02 
       3.491221731021e-01       6.790627940004e+02 
       3.611376262440e-01       6.313441944080e+02 
       3.736579629245e-01       5.905184341586e+02 
       3.867262321188e-01       5.535280086008e+02 
       4.003930632968e-01       5.163628598035e+02 
       4.147185333195e-01       4.788844774308e+02 
       4.297746422201e-01       4.438136750994e+02 
       4.456486527058e-01       4.121999033062e+02 
       4.624476800860e-01       3.823268021167e+02 
       4.803051343978e-01       3.526800104953e+02 
       4.993899779933e-01       3.243710047846e+02 
       5.199203904360e-01       2.981160518905e+02 
       5.421845681151e-01       2.725715964863e+02 
       5.665735282455e-01       2.478027681687e+02 
       5.936350322811e-01       2.241259296455e+02 
       6.241666409753e-01       2.008896003362e+02 
       6.593857725949e-01       1.781483983075e+02 
       7.012621203133e-01       1.554975522028e+02 
       7.532192606754e-01       1.326542567074e+02 
       8.217350441384e-01       1.091191532083e+02 
       9.201239234895e-01       8.443814764212e+01 
       1.075594223520e+00       5.898922612013e+01 
