# Matter power spectrum P(k) at redshift z=0
# for k=1.04821e-05 to 1.0756 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048206813348e-05       5.546987867413e+01 
       1.319614194140e-05       6.052095254483e+01 
       1.661295842767e-05       8.895336391996e+01 
       2.091447552967e-05       9.175245304830e+01 
       2.632976471865e-05       1.149863909405e+02 
       3.314720989087e-05       1.440888066545e+02 
       4.172986486169e-05       1.809008641435e+02 
       5.253478730511e-05       2.254508067914e+02 
       6.613737874161e-05       2.817622396942e+02 
       8.326202676727e-05       3.519456624446e+02 
       1.048206813348e-04       4.395674394936e+02 
       1.319614194140e-04       5.490342425621e+02 
       1.661295842767e-04       6.856587899451e+02 
       2.091447552967e-04       8.561328103883e+02 
       2.632976471865e-04       1.068772265540e+03 
       3.314720989087e-04       1.333753782283e+03 
       4.172986486169e-04       1.663589598026e+03 
       5.253478730511e-04       2.073399209068e+03 
       6.613737874161e-04       2.581325619145e+03 
       8.326202676727e-04       3.208747801810e+03 
       1.048206813348e-03       3.980349297605e+03 
       1.319614194140e-03       4.923667482260e+03 
       1.661295842767e-03       6.067726675814e+03 
       2.091447552967e-03       7.440836286711e+03 
       2.632976471865e-03       9.066348365461e+03 
       3.314720989087e-03       1.095662714778e+04 
       4.172986486169e-03       1.310433496818e+04 
       5.253478730511e-03       1.547085201079e+04 
       6.613737874161e-03       1.797199575936e+04 
       8.326202676727e-03       2.046249843290e+04 
       1.048206813348e-02       2.271859289286e+04 
       1.319614194140e-02       2.442599536070e+04 
       1.661295842764e-02       2.518984004949e+04 
       2.091447537185e-02       2.460709202574e+04 
       2.632964289617e-02       2.246181380522e+04 
       3.313015540952e-02       1.905588245386e+04 
       4.115648482541e-02       1.556318760414e+04 
       4.794853901947e-02       1.352787191444e+04 
       5.286991590372e-02       1.252346563662e+04 
       5.692425044606e-02       1.189817579510e+04 
       6.054228187972e-02       1.142807282046e+04 
       6.391567100783e-02       1.101889661582e+04 
       6.714571233787e-02       1.062278326668e+04 
       7.029307887435e-02       1.021372236670e+04 
       7.339759294285e-02       9.778863752928e+03 
       7.648730228110e-02       9.314502358314e+03 
       7.958312172264e-02       8.823911588637e+03 
       8.270141062852e-02       8.315698330406e+03 
       8.585549925407e-02       7.802141869857e+03 
       8.905664048954e-02       7.297525936846e+03 
       9.231462875749e-02       6.816481405152e+03 
       9.563821663604e-02       6.372292726964e+03 
       9.903540345490e-02       5.975433433561e+03 
       1.025136399664e-01       5.632538348661e+03 
       1.060799762888e-01       5.345693905949e+03 
       1.097411704537e-01       5.112082867419e+03 
       1.135037689363e-01       4.924108759317e+03 
       1.173741668454e-01       4.769771983287e+03 
       1.213586530975e-01       4.633868648324e+03 
       1.254634443733e-01       4.499512775442e+03 
       1.296947106467e-01       4.350759403176e+03 
       1.340585944145e-01       4.175678088684e+03 
       1.385612253051e-01       3.969129069467e+03 
       1.432087314536e-01       3.734332212425e+03 
       1.480072488337e-01       3.482420197691e+03 
       1.529629296113e-01       3.229936619263e+03 
       1.580819505061e-01       2.994660621045e+03 
       1.633705220937e-01       2.791126974956e+03 
       1.688348999519e-01       2.627032187973e+03 
       1.744813985356e-01       2.501251156328e+03 
       1.803164086485e-01       2.404036706640e+03 
       1.863464193735e-01       2.320330915844e+03 
       1.925780453182e-01       2.232246150007e+03 
       1.990180600360e-01       2.125626360982e+03 
       2.056734364934e-01       1.997312028195e+03 
       2.125513954925e-01       1.855521134721e+03 
       2.196594630092e-01       1.715219287916e+03 
       2.270055375094e-01       1.590901136632e+03 
       2.345979684537e-01       1.490696248414e+03 
       2.424456474145e-01       1.413364203031e+03 
       2.505581135402e-01       1.348959676385e+03 
       2.589456755167e-01       1.284086020265e+03 
       2.676195527440e-01       1.209650288602e+03 
       2.765920392011e-01       1.125985880792e+03 
       2.858766944684e-01       1.041998859248e+03 
       2.954885676990e-01       9.681452095951e+02 
       3.054444620796e-01       9.082428121328e+02 
       3.157632496489e-01       8.577213631590e+02 
       3.264662494719e-01       8.082616861697e+02 
       3.375776864037e-01       7.548256136994e+02 
       3.491252535009e-01       6.997183591230e+02 
       3.611408092198e-01       6.489410039586e+02 
       3.736612519576e-01       6.055240835211e+02 
       3.867296308400e-01       5.665125432849e+02 
       4.003965754955e-01       5.275273458278e+02 
       4.147221629493e-01       4.881128233785e+02 
       4.297783933988e-01       4.511209456783e+02 
       4.456525297052e-01       4.178568580436e+02 
       4.624516873053e-01       3.866152755731e+02 
       4.803092763053e-01       3.556741838587e+02 
       4.993942590150e-01       3.261045741306e+02 
       5.199248147477e-01       2.987947011443e+02 
       5.421891392582e-01       2.723496508142e+02 
       5.665782484124e-01       2.467599613454e+02 
       5.936399009515e-01       2.224106044600e+02 
       6.241716522248e-01       1.986297685618e+02 
       6.593909095231e-01       1.754702538637e+02 
       7.012673428081e-01       1.525457522220e+02 
       7.532244767117e-01       1.295864465327e+02 
       8.217400387372e-01       1.061251654680e+02 
       9.201281918562e-01       8.175472724325e+01 
       1.075596819086e+00       5.688608858603e+01 
