# Matter power spectrum P(k) at redshift z=0
# for k=1.04821e-05 to 5.25889 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048206813348e-05       4.586830365776e+01 
       1.319614194140e-05       6.478034619755e+01 
       1.661295842767e-05       7.447042502270e+01 
       2.091447552967e-05       1.239893941528e+02 
       2.632976471865e-05       1.142897253565e+02 
       3.314720989087e-05       1.434224997094e+02 
       4.172986486169e-05       1.803125968740e+02 
       5.253478730511e-05       2.252304798643e+02 
       6.613737874161e-05       2.815433831494e+02 
       8.326202676727e-05       3.519143415656e+02 
       1.048206813348e-04       4.396397880606e+02 
       1.319614194140e-04       5.491087805587e+02 
       1.661295842767e-04       6.856635102662e+02 
       2.091447552967e-04       8.561367791327e+02 
       2.632976471865e-04       1.068771142667e+03 
       3.314720989087e-04       1.333737304985e+03 
       4.172986486169e-04       1.663548145106e+03 
       5.253478730511e-04       2.073326315699e+03 
       6.613737874161e-04       2.581181115163e+03 
       8.326202676727e-04       3.208465439748e+03 
       1.048206813348e-03       3.979806260324e+03 
       1.319614194140e-03       4.922625205008e+03 
       1.661295842767e-03       6.065791027732e+03 
       2.091447552967e-03       7.437157833858e+03 
       2.632976471865e-03       9.059345462689e+03 
       3.314720989087e-03       1.094344035949e+04 
       4.172986486169e-03       1.308012361315e+04 
       5.253478730511e-03       1.542597220306e+04 
       6.613737874161e-03       1.789180199641e+04 
       8.326202676727e-03       2.033088704855e+04 
       1.048206813348e-02       2.251700336721e+04 
       1.319614194140e-02       2.413789473392e+04 
       1.661295842764e-02       2.480674158357e+04 
       2.091447537185e-02       2.413556298654e+04 
       2.632964289617e-02       2.193580883638e+04 
       3.313015540952e-02       1.853850516418e+04 
       4.115648482541e-02       1.511259490951e+04 
       4.794853901947e-02       1.314069278056e+04 
       5.286991590372e-02       1.217506326897e+04 
       5.692425044606e-02       1.157586718573e+04 
       6.054228187972e-02       1.112519561220e+04 
       6.391567100783e-02       1.073184734011e+04 
       6.714571233787e-02       1.034976437926e+04 
       7.029307887435e-02       9.954240269676e+03 
       7.339759294285e-02       9.533265322190e+03 
       7.648730228110e-02       9.083706680140e+03 
       7.958312172264e-02       8.609133643557e+03 
       8.270141062852e-02       8.118152449171e+03 
       8.585549925407e-02       7.622829125665e+03 
       8.905664048954e-02       7.137060391951e+03 
       9.231462875749e-02       6.674908446649e+03 
       9.563821663604e-02       6.249037140562e+03 
       9.903540345490e-02       5.869329406780e+03 
       1.025136399664e-01       5.541891778102e+03 
       1.060799762888e-01       5.268364191748e+03 
       1.097411704537e-01       5.045656744101e+03 
       1.135037689363e-01       4.866067893459e+03 
       1.173741668454e-01       4.717724253496e+03 
       1.213586530975e-01       4.585660529308e+03 
       1.254634443733e-01       4.453538255123e+03 
       1.296947106467e-01       4.306142160178e+03 
       1.340585944145e-01       4.132362434942e+03 
       1.385612253051e-01       3.927814443403e+03 
       1.432087314536e-01       3.696262998616e+03 
       1.480072488337e-01       3.449029823111e+03 
       1.529629296113e-01       3.202354001622e+03 
       1.580819505061e-01       2.973409722470e+03 
       1.633705220937e-01       2.775986784856e+03 
       1.688348999519e-01       2.617031418879e+03 
       1.744813985356e-01       2.494880581252e+03 
       1.803164086485e-01       2.399608688800e+03 
       1.863464193735e-01       2.316311237069e+03 
       1.925780453182e-01       2.227731961991e+03 
       1.990180600360e-01       2.120649749473e+03 
       2.056734364934e-01       1.992706425172e+03 
       2.125513954925e-01       1.852446541269e+03 
       2.196594630092e-01       1.714620965665e+03 
       2.270055375094e-01       1.593104431684e+03 
       2.345979684537e-01       1.495306907361e+03 
       2.424456474145e-01       1.419491617109e+03 
       2.505581135402e-01       1.355613367302e+03 
       2.589456755167e-01       1.290641635834e+03 
       2.676195527440e-01       1.216118713066e+03 
       2.765920392011e-01       1.132880553932e+03 
       2.858766944684e-01       1.049877707323e+03 
       2.954885676990e-01       9.771641850551e+02 
       3.054444620796e-01       9.180795559648e+02 
       3.157632496489e-01       8.678266845341e+02 
       3.264662494719e-01       8.182693089493e+02 
       3.375776864037e-01       7.647473865339e+02 
       3.491252535009e-01       7.098080550556e+02 
       3.611408092198e-01       6.593383711330e+02 
       3.736612519576e-01       6.160992667233e+02 
       3.867296308400e-01       5.770092554916e+02 
       4.003965754955e-01       5.378351416696e+02 
       4.147221629493e-01       4.983063952801e+02 
       4.297783933988e-01       4.612588005591e+02 
       4.456525297052e-01       4.278736733973e+02 
       4.624516873053e-01       3.964039603494e+02 
       4.803092763053e-01       3.652129255638e+02 
       4.993942590150e-01       3.354241374832e+02 
       5.199248147477e-01       3.078430781182e+02 
       5.421891392582e-01       2.810749652748e+02 
       5.665782484124e-01       2.551520408639e+02 
       5.936399009515e-01       2.304322074082e+02 
       6.241716522248e-01       2.062383496799e+02 
       6.593909095231e-01       1.826265534425e+02 
       7.012673428081e-01       1.591907763013e+02 
       7.532244767117e-01       1.356471737187e+02 
       8.217400387372e-01       1.114957668857e+02 
       9.201281918562e-01       8.628300370668e+01 
       1.075596819086e+00       6.037404270642e+01 
       1.323276063831e+00       3.730352093024e+01 
       1.663052197866e+00       2.164991018166e+01 
       2.093603749249e+00       1.232792923363e+01 
       2.635690754566e+00       6.923297495280e+00 
       3.318138068444e+00       3.838623377229e+00 
       4.177288334205e+00       2.106067316683e+00 
       5.258894436322e+00       1.149280057258e+00 
