# Matter power spectrum P(k) at redshift z=0
# for k=1.04821e-05 to 1.0756 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048206813348e-05       4.585373763171e+01 
       1.319614194140e-05       6.482901797419e+01 
       1.661295842767e-05       7.446254701019e+01 
       2.091447552967e-05       1.239990803427e+02 
       2.632976471865e-05       1.142973651134e+02 
       3.314720989087e-05       1.434335502146e+02 
       4.172986486169e-05       1.804387439885e+02 
       5.253478730511e-05       2.252369596305e+02 
       6.613737874161e-05       2.815466037433e+02 
       8.326202676727e-05       3.519140643815e+02 
       1.048206813348e-04       4.396366257537e+02 
       1.319614194140e-04       5.491063148186e+02 
       1.661295842767e-04       6.856628136659e+02 
       2.091447552967e-04       8.561361645247e+02 
       2.632976471865e-04       1.068770780696e+03 
       3.314720989087e-04       1.333734077474e+03 
       4.172986486169e-04       1.663548461534e+03 
       5.253478730511e-04       2.073326948669e+03 
       6.613737874161e-04       2.581182350458e+03 
       8.326202676727e-04       3.208467843859e+03 
       1.048206813348e-03       3.979810955522e+03 
       1.319614194140e-03       4.922633025887e+03 
       1.661295842767e-03       6.065671227651e+03 
       2.091447552967e-03       7.436895308370e+03 
       2.632976471865e-03       9.059007670230e+03 
       3.314720989087e-03       1.094337882584e+04 
       4.172986486169e-03       1.308111911770e+04 
       5.253478730511e-03       1.543118710475e+04 
       6.613737874161e-03       1.790623204109e+04 
       8.326202676727e-03       2.035746600703e+04 
       1.048206813348e-02       2.255922707494e+04 
       1.319614194140e-02       2.419827388825e+04 
       1.661295842764e-02       2.488760901032e+04 
       2.091447537185e-02       2.424151056781e+04 
       2.632964289617e-02       2.206881149786e+04 
       3.313015540952e-02       1.869237019045e+04 
       4.115648482541e-02       1.527750199261e+04 
       4.794853901947e-02       1.331138363240e+04 
       5.286991590372e-02       1.235076690268e+04 
       5.692425044606e-02       1.175654324982e+04 
       6.054228187972e-02       1.131068365444e+04 
       6.391567100783e-02       1.092162998364e+04 
       6.714571233787e-02       1.054306799868e+04 
       7.029307887435e-02       1.014999107713e+04 
       7.339759294285e-02       9.730159370808e+03 
       7.648730228110e-02       9.280266461338e+03 
       7.958312172264e-02       8.803836192737e+03 
       8.270141062852e-02       8.309535094886e+03 
       8.585549925407e-02       7.809571130516e+03 
       8.905664048954e-02       7.318120384875e+03 
       9.231462875749e-02       6.849556883465e+03 
       9.563821663604e-02       6.416962486936e+03 
       9.903540345490e-02       6.030649358283e+03 
       1.025136399664e-01       5.697041418451e+03 
       1.060799762888e-01       5.418107874638e+03 
       1.097411704537e-01       5.190922690032e+03 
       1.135037689363e-01       5.007847770484e+03 
       1.173741668454e-01       4.856915627357e+03 
       1.213586530975e-01       4.722945268052e+03 
       1.254634443733e-01       4.589221288280e+03 
       1.296947106467e-01       4.440066784693e+03 
       1.340585944145e-01       4.263898686548e+03 
       1.385612253051e-01       4.055933713310e+03 
       1.432087314536e-01       3.819766709458e+03 
       1.480072488337e-01       3.566753622306e+03 
       1.529629296113e-01       3.313458917882e+03 
       1.580819505061e-01       3.077602867140e+03 
       1.633705220937e-01       2.873489528259e+03 
       1.688348999519e-01       2.708598543002e+03 
       1.744813985356e-01       2.581521024587e+03 
       1.803164086485e-01       2.482339879839e+03 
       1.863464193735e-01       2.395854678580e+03 
       1.925780453182e-01       2.304336441323e+03 
       1.990180600360e-01       2.193959988614e+03 
       2.056734364934e-01       2.061989583534e+03 
       2.125513954925e-01       1.916945639289e+03 
       2.196594630092e-01       1.773910972310e+03 
       2.270055375094e-01       1.647249967986e+03 
       2.345979684537e-01       1.544830031475e+03 
       2.424456474145e-01       1.465118653408e+03 
       2.505581135402e-01       1.397981513570e+03 
       2.589456755167e-01       1.330016657340e+03 
       2.676195527440e-01       1.252386775102e+03 
       2.765920392011e-01       1.165722959250e+03 
       2.858766944684e-01       1.079104359875e+03 
       2.954885676990e-01       1.002907428355e+03 
       3.054444620796e-01       9.407462796030e+02 
       3.157632496489e-01       8.878419911330e+02 
       3.264662494719e-01       8.358835098416e+02 
       3.375776864037e-01       7.799671367188e+02 
       3.491252535009e-01       7.225892629790e+02 
       3.611408092198e-01       6.697720510380e+02 
       3.736612519576e-01       6.244313260024e+02 
       3.867296308400e-01       5.834981293398e+02 
       4.003965754955e-01       5.426229897619e+02 
       4.147221629493e-01       5.014617564919e+02 
       4.297783933988e-01       4.628819054773e+02 
       4.456525297052e-01       4.281362253047e+02 
       4.624516873053e-01       3.954789342373e+02 
       4.803092763053e-01       3.632146024343e+02 
       4.993942590150e-01       3.324551726871e+02 
       5.199248147477e-01       3.040491815144e+02 
       5.421891392582e-01       2.765930983745e+02 
       5.665782484124e-01       2.500949987413e+02 
       5.936399009515e-01       2.249374245470e+02 
       6.241716522248e-01       2.004367542303e+02 
       6.593909095231e-01       1.766605194373e+02 
       7.012673428081e-01       1.532192224376e+02 
       7.532244767117e-01       1.298535632981e+02 
       8.217400387372e-01       1.061123576919e+02 
       9.201281918562e-01       8.161035204333e+01 
       1.075596819086e+00       5.676883112331e+01 
