# Matter power spectrum P(k) at redshift z=0
# for k=1.04821e-05 to 1.0756 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048206813348e-05       4.585771238544e+01 
       1.319614194140e-05       5.688818614255e+01 
       1.661295842767e-05       7.446272364604e+01 
       2.091447552967e-05       1.237541635397e+02 
       2.632976471865e-05       1.143605229743e+02 
       3.314720989087e-05       1.434382339424e+02 
       4.172986486169e-05       1.807045217223e+02 
       5.253478730511e-05       2.252591885070e+02 
       6.613737874161e-05       2.815421221010e+02 
       8.326202676727e-05       3.519028341009e+02 
       1.048206813348e-04       4.396796540635e+02 
       1.319614194140e-04       5.491159777299e+02 
       1.661295842767e-04       6.856649363145e+02 
       2.091447552967e-04       8.561504684638e+02 
       2.632976471865e-04       1.068771104845e+03 
       3.314720989087e-04       1.333738360322e+03 
       4.172986486169e-04       1.663547757819e+03 
       5.253478730511e-04       2.073325950631e+03 
       6.613737874161e-04       2.581179865431e+03 
       8.326202676727e-04       3.208463252395e+03 
       1.048206813348e-03       3.979804237051e+03 
       1.319614194140e-03       4.922615015849e+03 
       1.661295842767e-03       6.065612207889e+03 
       2.091447552967e-03       7.436673621179e+03 
       2.632976471865e-03       9.058331773740e+03 
       3.314720989087e-03       1.094148950922e+04 
       4.172986486169e-03       1.307648906723e+04 
       5.253478730511e-03       1.542145679256e+04 
       6.613737874161e-03       1.788799147037e+04 
       8.326202676727e-03       2.032548495768e+04 
       1.048206813348e-02       2.250530425099e+04 
       1.319614194140e-02       2.411178394498e+04 
       1.661295842764e-02       2.475660941546e+04 
       2.091447537185e-02       2.405609282520e+04 
       2.632964289617e-02       2.182766232914e+04 
       3.313015540952e-02       1.840730671118e+04 
       4.115648482541e-02       1.496771828925e+04 
       4.794853901947e-02       1.298815500306e+04 
       5.286991590372e-02       1.201642452225e+04 
       5.692425044606e-02       1.141138792383e+04 
       6.054228187972e-02       1.095516176036e+04 
       6.391567100783e-02       1.055669665331e+04 
       6.714571233787e-02       1.017025936658e+04 
       7.029307887435e-02       9.771340881957e+03 
       7.339759294285e-02       9.348204474304e+03 
       7.648730228110e-02       8.897861463340e+03 
       7.958312172264e-02       8.423966972554e+03 
       8.270141062852e-02       7.935084920969e+03 
       8.585549925407e-02       7.443176571735e+03 
       8.905664048954e-02       6.961863815725e+03 
       9.231462875749e-02       6.504924007740e+03 
       9.563821663604e-02       6.084578500865e+03 
       9.903540345490e-02       5.710399682323e+03 
       1.025136399664e-01       5.388285562001e+03 
       1.060799762888e-01       5.118738329553e+03 
       1.097411704537e-01       4.899718718085e+03 
       1.135037689363e-01       4.722213662193e+03 
       1.173741668454e-01       4.575688178535e+03 
       1.213586530975e-01       4.444389060012e+03 
       1.254634443733e-01       4.312413003639e+03 
       1.296947106467e-01       4.166571152136e+03 
       1.340585944145e-01       3.993658476052e+03 
       1.385612253051e-01       3.791849752497e+03 
       1.432087314536e-01       3.564713443892e+03 
       1.480072488337e-01       3.323127038768e+03 
       1.529629296113e-01       3.082393046137e+03 
       1.580819505061e-01       2.860109238025e+03 
       1.633705220937e-01       2.669098767068e+03 
       1.688348999519e-01       2.515740224291e+03 
       1.744813985356e-01       2.398109725527e+03 
       1.803164086485e-01       2.306282161138e+03 
       1.863464193735e-01       2.225607010045e+03 
       1.925780453182e-01       2.139475204245e+03 
       1.990180600360e-01       2.035328845245e+03 
       2.056734364934e-01       1.911221845827e+03 
       2.125513954925e-01       1.775759228430e+03 
       2.196594630092e-01       1.643247266366e+03 
       2.270055375094e-01       1.526968803866e+03 
       2.345979684537e-01       1.433784192210e+03 
       2.424456474145e-01       1.361716471260e+03 
       2.505581135402e-01       1.300867143143e+03 
       2.589456755167e-01       1.238673369993e+03 
       2.676195527440e-01       1.167099164848e+03 
       2.765920392011e-01       1.087435415145e+03 
       2.858766944684e-01       1.008290389581e+03 
       2.954885676990e-01       9.392545072626e+02 
       3.054444620796e-01       8.833419771829e+02 
       3.157632496489e-01       8.357538506811e+02 
       3.264662494719e-01       7.886257542807e+02 
       3.375776864037e-01       7.376270393581e+02 
       3.491252535009e-01       6.853623342599e+02 
       3.611408092198e-01       6.375041635247e+02 
       3.736612519576e-01       5.965736685666e+02 
       3.867296308400e-01       5.595124436118e+02 
       4.003965754955e-01       5.222494789797e+02 
       4.147221629493e-01       4.846372454396e+02 
       4.297783933988e-01       4.494311980115e+02 
       4.456525297052e-01       4.176979796806e+02 
       4.624516873053e-01       3.877106916637e+02 
       4.803092763053e-01       3.579303749246e+02 
       4.993942590150e-01       3.294757929360e+02 
       5.199248147477e-01       3.030795793781e+02 
       5.421891392582e-01       2.773903231308e+02 
       5.665782484124e-01       2.524585649140e+02 
       5.936399009515e-01       2.286170071762e+02 
       6.241716522248e-01       2.051983192467e+02 
       6.593909095231e-01       1.822618252677e+02 
       7.012673428081e-01       1.593940820087e+02 
       7.532244767117e-01       1.363023168339e+02 
       8.217400387372e-01       1.124708469790e+02 
       9.201281918562e-01       8.741784664370e+01 
       1.075596819086e+00       6.148743650346e+01 
