# Matter power spectrum P(k) at redshift z=0
# for k=1.04821e-05 to 1.0756 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048206813348e-05       4.585771475240e+01 
       1.319614194140e-05       5.688818302880e+01 
       1.661295842767e-05       7.446272313371e+01 
       2.091447552967e-05       1.237541419831e+02 
       2.632976471865e-05       1.143605232455e+02 
       3.314720989087e-05       1.434382332941e+02 
       4.172986486169e-05       1.807045158693e+02 
       5.253478730511e-05       2.252591879589e+02 
       6.613737874161e-05       2.815421217674e+02 
       8.326202676727e-05       3.519028338268e+02 
       1.048206813348e-04       4.396796544464e+02 
       1.319614194140e-04       5.491159777424e+02 
       1.661295842767e-04       6.856649366163e+02 
       2.091447552967e-04       8.561504683846e+02 
       2.632976471865e-04       1.068771104846e+03 
       3.314720989087e-04       1.333738360344e+03 
       4.172986486169e-04       1.663547757792e+03 
       5.253478730511e-04       2.073325950608e+03 
       6.613737874161e-04       2.581179865303e+03 
       8.326202676727e-04       3.208463251711e+03 
       1.048206813348e-03       3.979803854616e+03 
       1.319614194140e-03       4.922615014749e+03 
       1.661295842767e-03       6.065612204453e+03 
       2.091447552967e-03       7.436673609960e+03 
       2.632976471865e-03       9.058331737097e+03 
       3.314720989087e-03       1.094148939508e+04 
       4.172986486169e-03       1.307648873006e+04 
       5.253478730511e-03       1.542145589112e+04 
       6.613737874161e-03       1.788798890839e+04 
       8.326202676727e-03       2.032547835202e+04 
       1.048206813348e-02       2.250528801430e+04 
       1.319614194140e-02       2.411174591788e+04 
       1.661295842764e-02       2.475652563464e+04 
       2.091447537185e-02       2.405592029591e+04 
       2.632964289617e-02       2.182733556522e+04 
       3.313015540952e-02       1.840674400802e+04 
       4.115648482541e-02       1.496683881111e+04 
       4.794853901947e-02       1.298696227841e+04 
       5.286991590372e-02       1.201496293570e+04 
       5.692425044606e-02       1.140969156471e+04 
       6.054228187972e-02       1.095322891884e+04 
       6.391567100783e-02       1.055454453205e+04 
       6.714571233787e-02       1.016789890128e+04 
       7.029307887435e-02       9.768793397136e+03 
       7.339759294285e-02       9.345489731055e+03 
       7.648730228110e-02       8.895006480021e+03 
       7.958312172264e-02       8.420990399234e+03 
       8.270141062852e-02       7.932029045095e+03 
       8.585549925407e-02       7.440059472191e+03 
       8.905664048954e-02       6.958714375161e+03 
       9.231462875749e-02       6.501745582184e+03 
       9.563821663604e-02       6.081391525721e+03 
       9.903540345490e-02       5.707188231837e+03 
       1.025136399664e-01       5.384958660217e+03 
       1.060799762888e-01       5.115271839517e+03 
       1.097411704537e-01       4.896479101313e+03 
       1.135037689363e-01       4.719008622713e+03 
       1.173741668454e-01       4.572501289850e+03 
       1.213586530975e-01       4.440864682874e+03 
       1.254634443733e-01       4.308796852391e+03 
       1.296947106467e-01       4.162391102724e+03 
       1.340585944145e-01       3.990205196400e+03 
       1.385612253051e-01       3.788629188240e+03 
       1.432087314536e-01       3.560718201054e+03 
       1.480072488337e-01       3.319110747756e+03 
       1.529629296113e-01       3.078658738552e+03 
       1.580819505061e-01       2.856399811403e+03 
       1.633705220937e-01       2.665432885441e+03 
       1.688348999519e-01       2.512128735772e+03 
       1.744813985356e-01       2.394471908483e+03 
       1.803164086485e-01       2.302555625484e+03 
       1.863464193735e-01       2.221790098531e+03 
       1.925780453182e-01       2.135581449857e+03 
       1.990180600360e-01       2.031394999791e+03 
       2.056734364934e-01       1.907331405741e+03 
       2.125513954925e-01       1.771928230233e+03 
       2.196594630092e-01       1.639513969964e+03 
       2.270055375094e-01       1.523314146275e+03 
       2.345979684537e-01       1.430175853187e+03 
       2.424456474145e-01       1.358112376592e+03 
       2.505581135402e-01       1.297240741511e+03 
       2.589456755167e-01       1.235030265401e+03 
       2.676195527440e-01       1.163537271941e+03 
       2.765920392011e-01       1.083930286645e+03 
       2.858766944684e-01       1.004806734640e+03 
       2.954885676990e-01       9.358562512113e+02 
       3.054444620796e-01       8.799803575657e+02 
       3.157632496489e-01       8.324090660739e+02 
       3.264662494719e-01       7.853003728044e+02 
       3.375776864037e-01       7.343521172106e+02 
       3.491252535009e-01       6.821615137553e+02 
       3.611408092198e-01       6.343758451526e+02 
       3.736612519576e-01       5.934966094113e+02 
       3.867296308400e-01       5.564751039005e+02 
       4.003965754955e-01       5.192682963598e+02 
       4.147221629493e-01       4.817247866003e+02 
       4.297783933988e-01       4.465915174551e+02 
       4.456525297052e-01       4.149207111189e+02 
       4.624516873053e-01       3.849916523970e+02 
       4.803092763053e-01       3.552820000736e+02 
       4.993942590150e-01       3.269064575052e+02 
       5.199248147477e-01       3.005844481034e+02 
       5.421891392582e-01       2.749717643294e+02 
       5.665782484124e-01       2.501228150202e+02 
       5.936399009515e-01       2.263664926228e+02 
       6.241716522248e-01       2.030451531699e+02 
       6.593909095231e-01       1.802093847977e+02 
       7.012673428081e-01       1.574528284167e+02 
       7.532244767117e-01       1.344882072387e+02 
       8.217400387372e-01       1.108075474320e+02 
       9.201281918562e-01       8.594353541446e+01 
       1.075596819086e+00       6.025588515162e+01 
