# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0
# for k=1.04821e-05 to 104.929 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.048206813348e-05      -1.025826048537e-07      -5.038559054197e-09       2.745837496512e+06       5.419541352012e-16      -3.050930856773e+00       2.745837496512e+06      -2.745837496512e+06      -3.050930856773e+00       4.585771347757e+01 
       1.319614194140e-05      -2.016897662292e-07      -9.906402879674e-09       2.745837496512e+06       5.419541352012e-16      -3.050930856773e+00       2.745837496512e+06      -2.745837496512e+06      -3.050930856773e+00       5.688817866272e+01 
       1.661295842767e-05      -4.184089871933e-07      -2.055099579182e-08       2.745837496512e+06       5.419541352012e-16      -3.050930856773e+00       2.745837496512e+06      -2.745837496512e+06      -3.050930856773e+00       7.446272300149e+01 
       2.091447552967e-05      -1.102103222878e-06      -5.413195246872e-08       2.745837496512e+06       5.419541352012e-16      -3.050930856773e+00       2.745837496512e+06      -2.745837496512e+06      -3.050930856773e+00       1.237541396403e+02 
       2.632976471865e-05      -1.614128032011e-06      -7.928117803809e-08       2.745837496512e+06       5.419541352012e-16      -3.050930856773e+00       2.745837496512e+06      -2.745837496512e+06      -3.050930856773e+00       1.143605243926e+02 
       3.314720989087e-05      -3.208684253220e-06      -1.576009752790e-07       2.745837496512e+06       5.419541352012e-16      -3.050930856773e+00       2.745837496512e+06      -2.745837496512e+06      -3.050930856773e+00       1.434382387979e+02 
       4.172986486169e-05      -6.406649989020e-06      -3.146755301695e-07       2.745837496512e+06       5.419541352012e-16      -3.050930856773e+00       2.745837496512e+06      -2.745837496512e+06      -3.050930856773e+00       1.807045200816e+02 
       5.253478730511e-05      -1.265482835733e-05      -6.218303387925e-07       2.745837496512e+06       4.847408170061e-01      -3.318601441941e+00       2.745837496512e+06      -2.745837496512e+06      -3.051057729147e+00       2.252591248573e+02 
       6.613737874161e-05      -2.505973556241e-05      -1.231508996771e-06       2.745836892019e+06       5.251451271606e-02      -3.077138712484e+00       2.745837448260e+06      -2.745837467388e+06      -3.051163051648e+00       2.815421670620e+02 
       8.326202676727e-05      -4.963610311610e-05      -2.439589300413e-06       2.745836822646e+06      -2.168763941422e-02      -3.063837520132e+00       2.745837483281e+06      -2.745837495647e+06      -3.051365998156e+00       3.519028294125e+02 
