# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.372149323021e-10       4.171176654210e-15       3.533039581863e-13       0.000000000000e+00       8.093679916269e-09       4.473641997657e-10      -1.840448266893e-12 
    3       1.299345633513e-10       5.348584733610e-15       3.959271538480e-13       0.000000000000e+00       5.070138614651e-09       3.185369077584e-10      -1.395697604359e-12 
    4       1.230221628471e-10       4.632734744138e-15       3.700564610095e-13       0.000000000000e+00       3.541292091571e-09       2.413128707908e-10      -9.145833052367e-13 
    5       1.178363644603e-10       3.095278155445e-15       3.151031636598e-13       0.000000000000e+00       2.647628995491e-09       1.905711977152e-10      -5.094762018044e-13 
    6       1.142727482368e-10       1.732377634390e-15       2.537796298974e-13       0.000000000000e+00       2.070279643794e-09       1.550348012112e-10      -2.105963679876e-13 
    7       1.119949684427e-10       9.354963699652e-16       1.992697222290e-13       0.000000000000e+00       1.670487806908e-09       1.290210339037e-10      -1.959666439532e-14 
    8       1.106627730163e-10       6.022375646925e-16       1.573365185639e-13       0.000000000000e+00       1.379982248746e-09       1.093173232688e-10       7.824768706842e-14 
    9       1.100393036612e-10       4.827987578784e-16       1.292290247078e-13       0.000000000000e+00       1.161711627197e-09       9.396139976702e-11       1.060429038372e-13 
   10       1.099345633591e-10       4.113590018342e-16       1.136107890400e-13       0.000000000000e+00       9.933687151746e-10       8.175192165527e-11       8.947051395128e-14 
   11       1.102376839214e-10       3.453228938347e-16       1.078704441553e-13       0.000000000000e+00       8.359167736776e-10       7.216602157722e-11       5.250552097933e-14 
   12       1.108830120464e-10       3.000776302642e-16       1.089894829950e-13       0.000000000000e+00       7.305339990477e-10       6.393523440469e-11       1.286622792835e-14 
   13       1.117606902074e-10       2.869795190680e-16       1.142425868446e-13       0.000000000000e+00       6.440127582358e-10       5.713824695150e-11      -1.760035263969e-14 
   14       1.127922113665e-10       2.982859961261e-16       1.216150497921e-13       0.000000000000e+00       5.720119603446e-10       5.118849322509e-11      -3.433986471661e-14 
   15       1.140008564663e-10       3.221801175902e-16       1.298162836251e-13       0.000000000000e+00       5.113979412355e-10       4.617678950419e-11      -3.752619243820e-14 
   16       1.153888763143e-10       3.560071473446e-16       1.381653693621e-13       0.000000000000e+00       4.598549339415e-10       4.192291171171e-11      -3.107600554935e-14 
   17       1.168409305975e-10       4.050682757658e-16       1.464996852887e-13       0.000000000000e+00       4.156335630444e-10       3.824874114120e-11      -2.016843915952e-14 
   18       1.183914698513e-10       4.748560429923e-16       1.549880931397e-13       0.000000000000e+00       3.772454532812e-10       3.496059227232e-11      -9.769421757270e-15 
   19       1.200551118940e-10       5.658855805588e-16       1.638554388081e-13       0.000000000000e+00       3.440851232884e-10       3.205050740963e-11      -2.449823108876e-15 
   20       1.217691375844e-10       6.763335548329e-16       1.732930730420e-13       0.000000000000e+00       3.148750381707e-10       2.950542623119e-11       1.543287026104e-16 
   21       1.235479124487e-10       8.054092605802e-16       1.832582859016e-13       0.000000000000e+00       2.891576234940e-10       2.728682538104e-11      -1.393297824361e-15 
   22       1.253973683389e-10       9.523956885982e-16       1.935527907445e-13       0.000000000000e+00       2.663191468702e-10       2.530753573719e-11      -5.391151485542e-15 
   23       1.273057742606e-10       1.117637017829e-15       2.038459970242e-13       0.000000000000e+00       2.460463550660e-10       2.352248661278e-11      -1.018423120136e-14 
   24       1.292392148109e-10       1.301596567243e-15       2.137238250559e-13       0.000000000000e+00       2.278712261634e-10       2.188351374838e-11      -1.401039394157e-14 
   25       1.312184983444e-10       1.504235526940e-15       2.229073619481e-13       0.000000000000e+00       2.115807243462e-10       2.039881424849e-11      -1.602566121805e-14 
   26       1.332623272910e-10       1.725602732897e-15       2.311599626545e-13       0.000000000000e+00       1.968808315250e-10       1.907631136234e-11      -1.583553459517e-14 
   27       1.353550958212e-10       1.967714235707e-15       2.383602309272e-13       0.000000000000e+00       1.835956146406e-10       1.788963553364e-11      -1.398442613666e-14 
   28       1.374631088202e-10       2.233177849964e-15       2.444519705327e-13       0.000000000000e+00       1.714963468161e-10       1.679522582713e-11      -1.140896108420e-14 
   29       1.395944066190e-10       2.523438873592e-15       2.494928852000e-13       0.000000000000e+00       1.605214570216e-10       1.578792466130e-11      -8.780797129340e-15 
   30       1.417599261619e-10       2.839566304193e-15       2.536137221231e-13       0.000000000000e+00       1.505533228720e-10       1.486622391697e-11      -6.815382646874e-15 
   31       1.439601718848e-10       3.182577341540e-15       2.569503115383e-13       0.000000000000e+00       1.413889007677e-10       1.402087688945e-11      -6.178235279190e-15 
   32       1.461972386015e-10       3.553437586332e-15       2.594592362811e-13       0.000000000000e+00       1.329810639806e-10       1.324705474327e-11      -6.689604609780e-15 
   33       1.484645873478e-10       3.953049675969e-15       2.610324562279e-13       0.000000000000e+00       1.252705633609e-10       1.253513092523e-11      -7.808674973016e-15 
   34       1.507497727568e-10       4.382257599513e-15       2.615475080790e-13       0.000000000000e+00       1.181497386359e-10       1.187134891682e-11      -8.935698743126e-15 
   35       1.530599593754e-10       4.841884963046e-15       2.608822880206e-13       0.000000000000e+00       1.115822730998e-10       1.125406088467e-11      -9.793964910730e-15 
   36       1.554037262581e-10       5.332700414253e-15       2.589031884385e-13       0.000000000000e+00       1.055155954651e-10       1.068230738944e-11      -1.017300754886e-14 
   37       1.577842546780e-10       5.855432384631e-15       2.554850484270e-13       0.000000000000e+00       9.987088585376e-11       1.015251082773e-11      -9.902957315338e-15 
   38       1.602016083847e-10       6.410872805103e-15       2.505971533190e-13       0.000000000000e+00       9.463363525647e-11       9.663138139353e-12      -9.119387405917e-15 
   39       1.626499896189e-10       6.999801364310e-15       2.442459453911e-13       0.000000000000e+00       8.978729453945e-11       9.211048976311e-12      -8.089437492078e-15 
   40       1.651162375586e-10       7.622954144432e-15       2.364531680918e-13       0.000000000000e+00       8.528572543005e-11       8.789899952460e-12      -7.146428089036e-15 
   41       1.675857778404e-10       8.281024967572e-15       2.272454375251e-13       0.000000000000e+00       8.106929126293e-11       8.392228588712e-12      -6.605580787115e-15 
   42       1.700644728638e-10       8.974676738476e-15       2.166166812344e-13       0.000000000000e+00       7.712563484352e-11       8.017173284826e-12      -6.467872080731e-15 
   43       1.725627135304e-10       9.704529049595e-15       2.045550072618e-13       0.000000000000e+00       7.344434069314e-11       7.664809782052e-12      -6.626992692258e-15 
   44       1.750891534411e-10       1.047115184807e-14       1.910531195591e-13       0.000000000000e+00       6.999869618747e-11       7.333905391158e-12      -6.947828144585e-15 
   45       1.776499114228e-10       1.127506287305e-14       1.760981908293e-13       0.000000000000e+00       6.675524490376e-11       7.022517503003e-12      -7.294415893417e-15 
   46       1.802464591714e-10       1.211672504976e-14       1.596375696350e-13       0.000000000000e+00       6.370891046671e-11       6.730260254568e-12      -7.628040961899e-15 
   47       1.828766947110e-10       1.299654398835e-14       1.416030383628e-13       0.000000000000e+00       6.085616594980e-11       6.456529441816e-12      -7.935393866760e-15 
   48       1.855351809722e-10       1.391486545533e-14       1.219197272358e-13       0.000000000000e+00       5.818443917979e-11       6.199786622328e-12      -8.201262753473e-15 
   49       1.882128741649e-10       1.487197282813e-14       1.005056514659e-13       0.000000000000e+00       5.567143998209e-11       5.957490500551e-12      -8.408440881394e-15 
   50       1.909006544459e-10       1.586808620622e-14       7.728772305480e-14       0.000000000000e+00       5.329187803174e-11       5.726853637073e-12      -8.545138709157e-15 
   51       1.936016779087e-10       1.690336536508e-14       5.225598377972e-14       0.000000000000e+00       5.104132690952e-11       5.507513909642e-12      -8.629806652706e-15 
   52       1.963219078780e-10       1.797790320419e-14       2.542329307844e-14       0.000000000000e+00       4.891767477644e-11       5.299469585243e-12      -8.692890266714e-15 
   53       1.990665151553e-10       1.909172175175e-14      -3.189554960645e-15       0.000000000000e+00       4.691398266554e-11       5.102288304091e-12      -8.770168997242e-15 
   54       2.018397853245e-10       2.024476969728e-14      -3.355351916828e-14       0.000000000000e+00       4.501815952042e-11       4.915077303660e-12      -8.903016824534e-15 
   55       2.046448994301e-10       2.143696508222e-14      -6.564205354706e-14       0.000000000000e+00       4.321665404884e-11       4.736794452277e-12      -9.126477620903e-15 
   56       2.074834245701e-10       2.266834144364e-14      -9.946717479764e-14       0.000000000000e+00       4.150734873448e-11       4.567340046453e-12      -9.429425128665e-15 
   57       2.103555343922e-10       2.393893365385e-14      -1.350518074942e-13       0.000000000000e+00       3.988929977903e-11       4.406684084499e-12      -9.784962401754e-15 
   58       2.132600291269e-10       2.524873525060e-14      -1.724196301153e-13       0.000000000000e+00       3.835883613207e-11       4.254533081521e-12      -1.016153051709e-14 
   59       2.161942379589e-10       2.659769772900e-14      -2.115951933153e-13       0.000000000000e+00       3.690939102893e-11       4.110313571744e-12      -1.052269446601e-14 
   60       2.191539213977e-10       2.798572983353e-14      -2.526040381961e-13       0.000000000000e+00       3.553133352853e-11       3.973155610837e-12      -1.082692904568e-14 
   61       2.221349015468e-10       2.941261741510e-14      -2.954660847368e-13       0.000000000000e+00       3.421464429446e-11       3.842139194978e-12      -1.103701107802e-14 
   62       2.251386013895e-10       3.087776358287e-14      -3.401737953327e-13       0.000000000000e+00       3.295802589340e-11       3.717135475168e-12      -1.115114397579e-14 
   63       2.281675812689e-10       3.238038870484e-14      -3.867092973970e-13       0.000000000000e+00       3.176154776824e-11       3.598125946396e-12      -1.117847127424e-14 
   64       2.312238787494e-10       3.391960153155e-14      -4.350505873178e-13       0.000000000000e+00       3.062390577384e-11       3.484948198706e-12      -1.113017567962e-14 
   65       2.343089658120e-10       3.549439596760e-14      -4.851714351968e-13       0.000000000000e+00       2.954234396063e-11       3.377287761675e-12      -1.101956976214e-14 
   66       2.374237060505e-10       3.710364784323e-14      -5.370412895882e-13       0.000000000000e+00       2.851257635809e-11       3.274669948882e-12      -1.086218664886e-14 
   67       2.405683118671e-10       3.874611168587e-14      -5.906251822378e-13       0.000000000000e+00       2.752870875836e-11       3.176451702387e-12      -1.067587071668e-14 
   68       2.437427752037e-10       4.042054794005e-14      -6.458879471233e-13       0.000000000000e+00       2.658481350753e-11       3.081993239034e-12      -1.047749816505e-14 
   69       2.469483567639e-10       4.212614177762e-14      -7.028080832287e-13       0.000000000000e+00       2.568019925574e-11       2.991231606736e-12      -1.027216437884e-14 
   70       2.501863230378e-10       4.386216373971e-14      -7.613665425078e-13       0.000000000000e+00       2.481507339186e-11       2.904209228832e-12      -1.006195849879e-14 
   71       2.534574693225e-10       4.562784690284e-14      -8.215426789274e-13       0.000000000000e+00       2.398894821759e-11       2.820900891892e-12      -9.849144109574e-15 
   72       2.567620890290e-10       4.742238698679e-14      -8.833142635460e-13       0.000000000000e+00       2.320060500743e-11       2.741210188709e-12      -9.636163740383e-15 
   73       2.600999429890e-10       4.924494246239e-14      -9.466574995932e-13       0.000000000000e+00       2.244805806861e-11       2.664965961280e-12      -9.425643365538e-15 
   74       2.634702287611e-10       5.109463465939e-14      -1.011547037549e-12       0.000000000000e+00       2.172851880107e-11       2.591918743794e-12      -9.220396905100e-15 
   75       2.668715499380e-10       5.297054787429e-14      -1.077955990221e-12       0.000000000000e+00       2.103835975739e-11       2.521737205623e-12      -9.023430725465e-15 
   76       2.703025187120e-10       5.487166859920e-14      -1.145854841382e-12       0.000000000000e+00       2.037401538160e-11       2.454092721571e-12      -8.837571513479e-15 
   77       2.737637582780e-10       5.679669017620e-14      -1.215207908577e-12       0.000000000000e+00       1.973495330099e-11       2.388938749790e-12      -8.664261607770e-15 
   78       2.772562115115e-10       5.874417255116e-14      -1.285976259687e-12       0.000000000000e+00       1.912118208526e-11       2.326276174096e-12      -8.504551146337e-15 
   79       2.807805226813e-10       6.071259887047e-14      -1.358118754671e-12       0.000000000000e+00       1.853234617348e-11       2.266067974729e-12      -8.359452034329e-15 
   80       2.843370197422e-10       6.270037434048e-14      -1.431592037950e-12       0.000000000000e+00       1.796770914145e-11       2.208237478462e-12      -8.229934721616e-15 
   81       2.879256966266e-10       6.470582508696e-14      -1.506350530801e-12       0.000000000000e+00       1.742613696900e-11       2.152666608704e-12      -8.116924980360e-15 
   82       2.915461955372e-10       6.672719701459e-14      -1.582346423747e-12       0.000000000000e+00       1.690608130730e-11       2.099194135614e-12      -8.021300682592e-15 
   83       2.951977892387e-10       6.876265466640e-14      -1.659529668949e-12       0.000000000000e+00       1.640556274618e-11       2.047613926201e-12      -7.943888577781e-15 
   84       2.988797477478e-10       7.081035034377e-14      -1.737849076402e-12       0.000000000000e+00       1.592265203844e-11       1.997725217144e-12      -7.884957029359e-15 
   85       3.025925470345e-10       7.286864713045e-14      -1.817255828013e-12       0.000000000000e+00       1.545704208701e-11       1.949496842092e-12      -7.842604661330e-15 
   86       3.063368291632e-10       7.493593092198e-14      -1.897700534839e-12       0.000000000000e+00       1.500870709310e-11       1.902927148015e-12      -7.814097433229e-15 
   87       3.101130246293e-10       7.701054349219e-14      -1.979132195860e-12       0.000000000000e+00       1.457741952933e-11       1.857993530490e-12      -7.796337409077e-15 
   88       3.139213411121e-10       7.909078253350e-14      -2.061498208914e-12       0.000000000000e+00       1.416274177603e-11       1.814651558139e-12      -7.785851063675e-15 
   89       3.177617522269e-10       8.117490169721e-14      -2.144744381644e-12       0.000000000000e+00       1.376401775765e-11       1.772834097073e-12      -7.778777588899e-15 
   90       3.216339862783e-10       8.326111063387e-14      -2.228814942438e-12       0.000000000000e+00       1.338036457902e-11       1.732450435321e-12      -7.770857199996e-15 
   91       3.255375150125e-10       8.534757503355e-14      -2.313652551372e-12       0.000000000000e+00       1.301066416178e-11       1.693385407281e-12      -7.757419441880e-15 
   92       3.294715423698e-10       8.743241666616e-14      -2.399198311150e-12       0.000000000000e+00       1.265355488063e-11       1.655498518149e-12      -7.733371495422e-15 
   93       3.334352773326e-10       8.951374042788e-14      -2.485392024288e-12       0.000000000000e+00       1.230775471018e-11       1.618659255769e-12      -7.694396840735e-15 
   94       3.374288238393e-10       9.158972004599e-14      -2.572172985135e-12       0.000000000000e+00       1.197310442666e-11       1.582861003077e-12      -7.640782867890e-15 
   95       3.414524045411e-10       9.365852539858e-14      -2.659479327759e-12       0.000000000000e+00       1.164966657026e-11       1.548122718991e-12      -7.574149997271e-15 
   96       3.455060813832e-10       9.571829706244e-14      -2.747247804445e-12       0.000000000000e+00       1.133740415265e-11       1.514453903792e-12      -7.496297470903e-15 
   97       3.495897482571e-10       9.776714672413e-14      -2.835413800023e-12       0.000000000000e+00       1.103617684385e-11       1.481854220296e-12      -7.409208273115e-15 
   98       3.537031236534e-10       9.980315759096e-14      -2.923911346187e-12       0.000000000000e+00       1.074573715921e-11       1.450313115039e-12      -7.315054051214e-15 
   99       3.578457433135e-10       1.018243848021e-13      -3.012673135819e-12       0.000000000000e+00       1.046572664634e-11       1.419809439448e-12      -7.216200036145e-15 
  100       3.620169528828e-10       1.038288558393e-13      -3.101630537308e-12       0.000000000000e+00       1.019567207199e-11       1.390311071021e-12      -7.115209963159e-15 
  101       3.662159005620e-10       1.058145709386e-13      -3.190713608876e-12       0.000000000000e+00       9.934981609025e-12       1.361774534506e-12      -7.014850992482e-15 
  102       3.704415297604e-10       1.077795035003e-13      -3.279851112896e-12       0.000000000000e+00       9.682941023342e-12       1.334144623076e-12      -6.918098629981e-15 
  103       3.746925717477e-10       1.097216005012e-13      -3.368970530217e-12       0.000000000000e+00       9.438709860794e-12       1.307354019507e-12      -6.828141647829e-15 
  104       3.789678159728e-10       1.116388343016e-13      -3.457999092179e-12       0.000000000000e+00       9.201512005829e-12       1.281338608681e-12      -6.747678450266e-15 
  105       3.832669784320e-10       1.135293651558e-13      -3.546867004577e-12       0.000000000000e+00       8.971244886865e-12       1.256086586809e-12      -6.676687321095e-15 
  106       3.875899374524e-10       1.153914015231e-13      -3.635504687935e-12       0.000000000000e+00       8.747945840132e-12       1.231595310793e-12      -6.614362740449e-15 
  107       3.919364622565e-10       1.172231515956e-13      -3.723841823900e-12       0.000000000000e+00       8.531603429888e-12       1.207855995408e-12      -6.559794211245e-15 
  108       3.963062086661e-10       1.190228242732e-13      -3.811807380752e-12       0.000000000000e+00       8.322155771305e-12       1.184853506906e-12      -6.511963393538e-15 
  109       4.006987148052e-10       1.207886301401e-13      -3.899329638903e-12       0.000000000000e+00       8.119488853346e-12       1.162566156628e-12      -6.469741238869e-15 
  110       4.051133968044e-10       1.225187824406e-13      -3.986336216408e-12       0.000000000000e+00       7.923434861653e-12       1.140965494611e-12      -6.431885124611e-15 
  111       4.095495445040e-10       1.242114980544e-13      -4.072754094467e-12       0.000000000000e+00       7.733770501425e-12       1.120016103203e-12      -6.397035988323e-15 
  112       4.140063171578e-10       1.258649984731e-13      -4.158509642934e-12       0.000000000000e+00       7.550215320302e-12       1.099675390663e-12      -6.363715462095e-15 
  113       4.184827391370e-10       1.274775107754e-13      -4.243528645818e-12       0.000000000000e+00       7.372430031246e-12       1.079893384782e-12      -6.330323006898e-15 
  114       4.229776956333e-10       1.290472686034e-13      -4.327736326791e-12       0.000000000000e+00       7.200014835428e-12       1.060612526483e-12      -6.295133046935e-15 
  115       4.274899283631e-10       1.305725131382e-13      -4.411057374695e-12       0.000000000000e+00       7.032507745104e-12       1.041767463436e-12      -6.256292103987e-15 
  116       4.320182066348e-10       1.320515413635e-13      -4.493416596775e-12       0.000000000000e+00       6.869485886206e-12       1.023299921957e-12      -6.212219718931e-15 
  117       4.365618733333e-10       1.334828554264e-13      -4.574740913958e-12       0.000000000000e+00       6.710886964437e-12       1.005205815262e-12      -6.162872642375e-15 
  118       4.411203575583e-10       1.348650333532e-13      -4.654957657189e-12       0.000000000000e+00       6.556723915938e-12       9.874935017801e-13      -6.108629679950e-15 
  119       4.456930024834e-10       1.361966847651e-13      -4.733993992123e-12       0.000000000000e+00       6.406984666490e-12       9.701691470611e-13      -6.049902354857e-15 
  120       4.502790626109e-10       1.374764522722e-13      -4.811776950182e-12       0.000000000000e+00       6.261631364907e-12       9.532366507058e-13      -5.987135612394e-15 
  121       4.548777010251e-10       1.387030128675e-13      -4.888233459610e-12       0.000000000000e+00       6.120599616444e-12       9.366975732926e-13      -5.920808524486e-15 
  122       4.594879866473e-10       1.398750793207e-13      -4.963290376531e-12       0.000000000000e+00       5.983797716197e-12       9.205510633060e-13      -5.851434994209e-15 
  123       4.641088914895e-10       1.409914015723e-13      -5.036874516001e-12       0.000000000000e+00       5.851105882500e-12       9.047937840636e-13      -5.779564460320e-15 
  124       4.687392879084e-10       1.420507681274e-13      -5.108912683066e-12       0.000000000000e+00       5.722375490334e-12       8.894198406446e-13      -5.705782601781e-15 
  125       4.733779458602e-10       1.430520074496e-13      -5.179331703817e-12       0.000000000000e+00       5.597428304721e-12       8.744207068171e-13      -5.630712042291e-15 
  126       4.780235301540e-10       1.439939893551e-13      -5.248058456446e-12       0.000000000000e+00       5.476055714130e-12       8.597851519657e-13      -5.555013054809e-15 
  127       4.826745977065e-10       1.448756264065e-13      -5.315019902304e-12       0.000000000000e+00       5.358017963879e-12       8.454991680200e-13      -5.479384266084e-15 
  128       4.873295947957e-10       1.456958753067e-13      -5.380143116951e-12       0.000000000000e+00       5.243043389531e-12       8.315458963817e-13      -5.404563361180e-15 
  129       4.919870199435e-10       1.464537790480e-13      -5.443356193964e-12       0.000000000000e+00       5.130886810873e-12       8.179095139889e-13      -5.331184907993e-15 
  130       4.966459385949e-10       1.471485956255e-13      -5.504591002470e-12       0.000000000000e+00       5.021513584777e-12       8.045875287099e-13      -5.259334700177e-15 
  131       5.013055199736e-10       1.477796861436e-13      -5.563780792215e-12       0.000000000000e+00       4.914934388439e-12       7.915797009566e-13      -5.188947628924e-15 
  132       5.059648749693e-10       1.483464769958e-13      -5.620859384864e-12       0.000000000000e+00       4.811147528808e-12       7.788841611536e-13      -5.119945865841e-15 
  133       5.106230545776e-10       1.488484615500e-13      -5.675761211305e-12       0.000000000000e+00       4.710138599321e-12       7.664973649962e-13      -5.052238545074e-15 
  134       5.152790483390e-10       1.492852018345e-13      -5.728421348947e-12       0.000000000000e+00       4.611880136636e-12       7.544140487078e-13      -4.985721445446e-15 
