# Matter power spectrum P(k) at redshift z=0
# for k=1.04821e-05 to 109.72 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048206813348e-05       4.585771288423e+01 
       2.342591613872e-05       1.038863230413e+02 
       3.641567745965e-05       1.575127311855e+02 
       4.948664496564e-05       2.127224188505e+02 
       6.267470048338e-05       2.671516278402e+02 
       7.601663786501e-05       3.223400578403e+02 
       8.955049647710e-05       3.776680579438e+02 
       1.033159095860e-04       4.336124280311e+02 
       1.173544721492e-04       4.902488863922e+02 
       1.317101325568e-04       5.481886830099e+02 
       1.464296128693e-04       6.070818646605e+02 
       1.615628620363e-04       6.674888083252e+02 
       1.771635463829e-04       7.295559411203e+02 
       1.932895812592e-04       7.935150508670e+02 
       2.100037070413e-04       8.595364247049e+02 
       2.273741115271e-04       9.279486669221e+02 
       2.454750989921e-04       9.990197605925e+02 
       2.643878035390e-04       1.073040404396e+03 
       2.842009405912e-04       1.150310233899e+03 
       3.050115851027e-04       1.231234939807e+03 
       3.269259578741e-04       1.316152416205e+03 
       3.500601918705e-04       1.405517974112e+03 
       3.745410382206e-04       1.499738805435e+03 
       4.005064564118e-04       1.599339867308e+03 
       4.281060151270e-04       1.704801238416e+03 
       4.575010098370e-04       1.816701971747e+03 
       4.888641821911e-04       1.935612731838e+03 
       5.223789072759e-04       2.062143780414e+03 
       5.582377024510e-04       2.196921193672e+03 
       5.966399120802e-04       2.340579613255e+03 
       6.377884439387e-04       2.493743335860e+03 
       6.818854836615e-04       2.657014094936e+03 
       7.291271996060e-04       2.830941567458e+03 
       7.796975728022e-04       3.016009803621e+03 
       8.337616367063e-04       3.212600107976e+03 
       8.914585683340e-04       3.420983544269e+03 
       9.528952031996e-04       3.641275003843e+03 
       1.018140612463e-03       3.873438520207e+03 
       1.087222348410e-03       4.117255912630e+03 
       1.160124819937e-03       4.372361467744e+03 
       1.236790018896e-03       4.638197032791e+03 
       1.317120526541e-03       4.914095189969e+03 
       1.400984449927e-03       5.199215678752e+03 
       1.488221730705e-03       5.492692893923e+03 
       1.578651170572e-03       5.793576543545e+03 
       1.672077533694e-03       6.100895831278e+03 
       1.768298193139e-03       6.413668983547e+03 
       1.867108946156e-03       6.730954832939e+03 
       1.968308791469e-03       7.051822960309e+03 
       2.071703609860e-03       7.375378744666e+03 
       2.177108800382e-03       7.700868661593e+03 
       2.284350994754e-03       8.027491245344e+03 
       2.393269006547e-03       8.354610395263e+03 
       2.503714178597e-03       8.681615175086e+03 
       2.615550281155e-03       9.007919836257e+03 
       2.728653092917e-03       9.333079737649e+03 
       2.842909773036e-03       9.656640443594e+03 
       2.958218108654e-03       9.978209984450e+03 
       3.074485701303e-03       1.029747610989e+04 
       3.191629137785e-03       1.061412651020e+04 
       3.309573176954e-03       1.092790721082e+04 
