# Matter power spectrum P(k) at redshift z=0
# for k=1.04821e-05 to 6.62056 h/Mpc,
# number of wavenumbers equal to 120
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048206813348e-05       4.586830365776e+01 
       1.319614194140e-05       6.478034619755e+01 
       1.661295842767e-05       7.447042502270e+01 
       2.091447552967e-05       1.239893941528e+02 
       2.632976471865e-05       1.142897253565e+02 
       3.314720989087e-05       1.434224997094e+02 
       4.172986486169e-05       1.803125968740e+02 
       5.253478730511e-05       2.252304798643e+02 
       6.613737874161e-05       2.815433831494e+02 
       8.326202676727e-05       3.519143415656e+02 
       1.048206813348e-04       4.396397880606e+02 
       1.319614194140e-04       5.491087805587e+02 
       1.661295842767e-04       6.856635102662e+02 
       2.091447552967e-04       8.561367791327e+02 
       2.632976471865e-04       1.068771142667e+03 
       3.314720989087e-04       1.333737304985e+03 
       4.172986486169e-04       1.663548145106e+03 
       5.253478730511e-04       2.073326315699e+03 
       6.613737874161e-04       2.581181115163e+03 
       8.326202676727e-04       3.208465439748e+03 
       1.048206813348e-03       3.979806260324e+03 
       1.319614194140e-03       4.922625205008e+03 
       1.661295842767e-03       6.065639603187e+03 
       2.091447552967e-03       7.436788309743e+03 
       2.632976471865e-03       9.058672037224e+03 
       3.314720989087e-03       1.094243464004e+04 
       4.172986486169e-03       1.307880237267e+04 
       5.253478730511e-03       1.542630691263e+04 
       6.613737874161e-03       1.789703227048e+04 
       8.326202676727e-03       2.034130622407e+04 
       1.048206813348e-02       2.253199827215e+04 
       1.319614194140e-02       2.415473219430e+04 
       1.661295842764e-02       2.482186862863e+04 
       2.091447537185e-02       2.414897320391e+04 
       2.632964289617e-02       2.194938091327e+04 
       3.313015540952e-02       1.855226725759e+04 
       4.115648482541e-02       1.512617853481e+04 
       4.794853901947e-02       1.315399580698e+04 
       5.286991590372e-02       1.218827780334e+04 
       5.692425044606e-02       1.158905313267e+04 
       6.054228187972e-02       1.113835279200e+04 
       6.391567100783e-02       1.074491546848e+04 
       6.714571233787e-02       1.036267174308e+04 
       7.029307887435e-02       9.966909267211e+03 
       7.339759294285e-02       9.545582636082e+03 
       7.648730228110e-02       9.095583040629e+03 
       7.958312172264e-02       8.620480340743e+03 
       8.270141062852e-02       8.128902943538e+03 
       8.585549925407e-02       7.632940287851e+03 
       8.905664048954e-02       7.146506772712e+03 
       9.231462875749e-02       6.683698461755e+03 
       9.563821663604e-02       6.257202362214e+03 
       9.903540345490e-02       5.876920281387e+03 
       1.025136399664e-01       5.548961872673e+03 
       1.060799762888e-01       5.274990201325e+03 
       1.097411704537e-01       5.051899033937e+03 
       1.135037689363e-01       4.871969715029e+03 
       1.173741668454e-01       4.723344169027e+03 
       1.213586530975e-01       4.591010757514e+03 
       1.254634443733e-01       4.458621737881e+03 
       1.296947106467e-01       4.310954584385e+03 
       1.340585944145e-01       4.136881062438e+03 
       1.385612253051e-01       3.932021271181e+03 
       1.432087314536e-01       3.700142637778e+03 
       1.480072488337e-01       3.452579694596e+03 
       1.529629296113e-01       3.205595159532e+03 
       1.580819505061e-01       2.976378178970e+03 
       1.633705220937e-01       2.778727003949e+03 
       1.688348999519e-01       2.619594109228e+03 
       1.744813985356e-01       2.497300369486e+03 
       1.803164086485e-01       2.401926024720e+03 
       1.863464193735e-01       2.318539593867e+03 
       1.925780453182e-01       2.229868786804e+03 
       1.990180600360e-01       2.122682390461e+03 
       2.056734364934e-01       1.994616919022e+03 
       2.125513954925e-01       1.854216146541e+03 
       2.196594630092e-01       1.716260789083e+03 
       2.270055375094e-01       1.594626999517e+03 
       2.345979684537e-01       1.496736866538e+03 
       2.424456474145e-01       1.420851306730e+03 
       2.505581135402e-01       1.356910518731e+03 
       2.589456755167e-01       1.291874362577e+03 
       2.676195527440e-01       1.217280265038e+03 
       2.765920392011e-01       1.133963638101e+03 
       2.858766944684e-01       1.050883836882e+03 
       2.954885676990e-01       9.780996751456e+02 
       3.054444620796e-01       9.189567121962e+02 
       3.157632496489e-01       8.686605072559e+02 
       3.264662494719e-01       8.190572296126e+02 
       3.375776864037e-01       7.654803540480e+02 
       3.491252535009e-01       7.104901129312e+02 
       3.611408092198e-01       6.599703189554e+02 
       3.736612519576e-01       6.166916188701e+02 
       3.867296308400e-01       5.775623166688e+02 
       4.003965754955e-01       5.383507983135e+02 
       4.147221629493e-01       4.987836893780e+02 
       4.297783933988e-01       4.617023351476e+02 
       4.456525297052e-01       4.282833031957e+02 
       4.624516873053e-01       3.967836797202e+02 
       4.803092763053e-01       3.655626128201e+02 
       4.993942590150e-01       3.357465243340e+02 
       5.199248147477e-01       3.081372691128e+02 
       5.421891392582e-01       2.813444700532e+02 
       5.665782484124e-01       2.553981035073e+02 
       5.936399009515e-01       2.306536700460e+02 
       6.241716522248e-01       2.064365981577e+02 
       6.593909095231e-01       1.828019605364e+02 
       7.012673428081e-01       1.593427904368e+02 
       7.532244767117e-01       1.357769415468e+02 
       8.217400387372e-01       1.116034690783e+02 
       9.201281918562e-01       8.636539054499e+01 
       1.075596819086e+00       6.043219056825e+01 
       1.323276063831e+00       3.733886428315e+01 
       1.663052197866e+00       2.167043008493e+01 
       2.093603749249e+00       1.233962235116e+01 
       2.635690754566e+00       6.929863751003e+00 
       3.318138068444e+00       3.842316469508e+00 
       4.177288334205e+00       2.108026949029e+00 
       5.258894436322e+00       1.150304984510e+00 
       6.620555843829e+00       6.280606093760e-01 
